,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,379690,1.1,100.00,22960,0.7,15500,17860,25540,201.3,117.2,4.6,1290.01,2006
1,11-0000,6190,4.4,1.63,77710,1.8,46050,66220,96040,201.3,117.2,4.6,1290.01,2006
2,11-1011,310,9.8,0.08,121120,4.1,71810,111650,239200,201.3,117.2,4.6,1290.01,2006
3,11-1021,3100,5.3,0.82,81430,2.5,49750,68850,99120,201.3,117.2,4.6,1290.01,2006
4,11-2011,40,15.6,0.01,79210,8.5,47920,74460,90700,201.3,117.2,4.6,1290.01,2006
5,11-2021,50,34.6,0.01,91160,4.3,68220,91910,112040,201.3,117.2,4.6,1290.01,2006
6,11-2022,210,25.7,0.06,104410,7.5,65900,91870,144730,201.3,117.2,4.6,1290.01,2006
7,11-3031,260,14.7,0.07,76050,3.1,51990,70600,93400,201.3,117.2,4.6,1290.01,2006
8,11-3051,200,11.8,0.05,63500,3.0,47880,62370,77690,201.3,117.2,4.6,1290.01,2006
9,11-3071,130,16.8,0.03,70550,3.6,52700,63800,82200,201.3,117.2,4.6,1290.01,2006
10,11-9011,1590,9.2,0.42,61470,4.0,40480,52800,78400,201.3,117.2,4.6,1290.01,2006
11,11-9012,120,47.9,0.03,48810,10.4,31450,40580,53850,201.3,117.2,4.6,1290.01,2006
12,11-9199,50,22.9,0.01,89110,12.4,50880,74130,112640,201.3,117.2,4.6,1290.01,2006
13,13-0000,1480,7.9,0.39,55080,2.0,39780,51470,66600,201.3,117.2,4.6,1290.01,2006
14,13-1021,130,19.1,0.03,55960,5.8,37900,54210,68540,201.3,117.2,4.6,1290.01,2006
15,13-1023,150,27.0,0.04,44120,10.8,27560,41290,50200,201.3,117.2,4.6,1290.01,2006
16,13-1079,40,27.4,0.01,51250,8.3,39860,44360,56190,201.3,117.2,4.6,1290.01,2006
17,13-1081,100,46.3,0.03,48080,3.5,39020,46890,56620,201.3,117.2,4.6,1290.01,2006
18,13-1111,40,40.1,0.01,55930,9.0,43040,60710,68380,201.3,117.2,4.6,1290.01,2006
19,13-1199,270,18.7,0.07,60690,5.6,37360,53490,79470,201.3,117.2,4.6,1290.01,2006
20,13-2011,620,6.6,0.16,57730,1.7,44100,55100,68080,201.3,117.2,4.6,1290.01,2006
21,15-0000,320,19.6,0.08,55340,3.4,40420,52030,68750,201.3,117.2,4.6,1290.01,2006
22,15-1021,140,43.4,0.04,53260,5.9,40600,49540,62210,201.3,117.2,4.6,1290.01,2006
