,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,393840,1.2,100.0,25950,0.8,18170,19550,28120,228.713,142.0,8.2,1341.27,2012
1,11-0000,7470,4.2,1.9,90290,2.0,54640,76040,111160,228.713,142.0,8.2,1341.27,2012
2,11-1000,3790,4.6,0.96,98870,2.3,58230,82120,118940,228.713,142.0,8.2,1341.27,2012
3,11-1010,160,12.6,0.04,177860,7.2,113620,173750,239200,228.713,142.0,8.2,1341.27,2012
4,11-1011,160,12.6,0.04,177860,7.2,113620,173750,239200,228.713,142.0,8.2,1341.27,2012
5,11-1020,3630,4.8,0.92,95290,2.4,57640,80210,115330,228.713,142.0,8.2,1341.27,2012
6,11-1021,3630,4.8,0.92,95290,2.4,57640,80210,115330,228.713,142.0,8.2,1341.27,2012
7,11-2000,310,9.9,0.08,118930,6.6,70000,108130,152090,228.713,142.0,8.2,1341.27,2012
8,11-2020,290,10.2,0.07,120810,7.0,72000,109310,153400,228.713,142.0,8.2,1341.27,2012
9,11-2022,270,10.6,0.07,119140,7.3,71270,108070,148360,228.713,142.0,8.2,1341.27,2012
10,11-3000,980,9.9,0.25,83140,3.0,56580,73890,100220,228.713,142.0,8.2,1341.27,2012
11,11-3010,80,15.3,0.02,88050,11.7,51950,80460,103820,228.713,142.0,8.2,1341.27,2012
12,11-3011,80,15.3,0.02,88050,11.7,51950,80460,103820,228.713,142.0,8.2,1341.27,2012
13,11-3030,260,14.1,0.07,99570,4.7,68140,90430,113090,228.713,142.0,8.2,1341.27,2012
14,11-3031,260,14.1,0.07,99570,4.7,68140,90430,113090,228.713,142.0,8.2,1341.27,2012
15,11-3050,380,14.2,0.1,72370,2.9,53700,65120,82410,228.713,142.0,8.2,1341.27,2012
16,11-3051,380,14.2,0.1,72370,2.9,53700,65120,82410,228.713,142.0,8.2,1341.27,2012
17,11-3070,230,23.3,0.06,78510,6.1,55240,73050,96980,228.713,142.0,8.2,1341.27,2012
18,11-3071,230,23.3,0.06,78510,6.1,55240,73050,96980,228.713,142.0,8.2,1341.27,2012
19,11-9000,2390,9.2,0.61,75840,3.7,43920,69660,95410,228.713,142.0,8.2,1341.27,2012
20,11-9010,2240,9.6,0.57,73350,3.8,43240,69070,94180,228.713,142.0,8.2,1341.27,2012
21,11-9013,2240,9.6,0.57,73350,3.8,43240,69070,94180,228.713,142.0,8.2,1341.27,2012
22,11-9190,100,38.1,0.02,136720,15.6,74880,104130,239200,228.713,142.0,8.2,1341.27,2012
23,11-9199,100,38.1,0.02,136720,15.6,74880,104130,239200,228.713,142.0,8.2,1341.27,2012
24,13-0000,2570,8.5,0.65,50760,3.9,29640,46730,65750,228.713,142.0,8.2,1341.27,2012
25,13-1000,1930,10.8,0.49,47240,4.8,26830,39600,60700,228.713,142.0,8.2,1341.27,2012
26,13-1020,380,36.6,0.1,51830,6.6,31440,47930,70360,228.713,142.0,8.2,1341.27,2012
28,13-1023,170,40.0,0.04,56600,6.6,43110,58740,69480,228.713,142.0,8.2,1341.27,2012
31,13-1070,1070,13.0,0.27,39540,5.5,21520,31520,50630,228.713,142.0,8.2,1341.27,2012
32,13-1071,60,30.3,0.01,54730,3.4,36750,59650,72300,228.713,142.0,8.2,1341.27,2012
33,13-1074,1010,13.6,0.26,38680,5.8,21310,30730,48530,228.713,142.0,8.2,1341.27,2012
34,13-1110,70,29.3,0.02,100570,19.3,62920,91540,155080,228.713,142.0,8.2,1341.27,2012
35,13-1111,70,29.3,0.02,100570,19.3,62920,91540,155080,228.713,142.0,8.2,1341.27,2012
36,13-1160,50,21.2,0.01,53520,4.1,40720,50670,63830,228.713,142.0,8.2,1341.27,2012
37,13-1161,50,21.2,0.01,53520,4.1,40720,50670,63830,228.713,142.0,8.2,1341.27,2012
38,13-1190,280,21.5,0.07,53420,5.2,35980,50550,62890,228.713,142.0,8.2,1341.27,2012
