,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,424020,1.1,100.0,30960,0.7,21980,24480,33530,244.004,122.7,4.4,2395.35,2017
1,11-0000,7860,4.9,1.85,98350,2.4,56400,82430,122810,244.004,122.7,4.4,2395.35,2017
2,11-1000,3840,4.7,0.91,102830,3.7,55270,82620,123980,244.004,122.7,4.4,2395.35,2017
3,11-1010,170,13.5,0.04,198770,6.5,111480,181320,239200,244.004,122.7,4.4,2395.35,2017
4,11-1011,170,13.5,0.04,198770,6.5,111480,181320,239200,244.004,122.7,4.4,2395.35,2017
5,11-1020,3670,4.9,0.87,98260,4,54230,80250,118600,244.004,122.7,4.4,2395.35,2017
6,11-1021,3670,4.9,0.87,98260,4,54230,80250,118600,244.004,122.7,4.4,2395.35,2017
7,11-2000,380,19.9,0.09,122610,4.2,85720,118730,150790,244.004,122.7,4.4,2395.35,2017
8,11-2020,370,20.4,0.09,122160,4.3,85570,118220,150460,244.004,122.7,4.4,2395.35,2017
10,11-2022,270,17.9,0.06,116190,5.2,77440,106700,142800,244.004,122.7,4.4,2395.35,2017
11,11-3000,980,8.1,0.23,105060,3.9,68710,93280,125600,244.004,122.7,4.4,2395.35,2017
12,11-3010,80,14.2,0.02,97200,4.5,73350,92890,117850,244.004,122.7,4.4,2395.35,2017
13,11-3011,80,14.2,0.02,97200,4.5,73350,92890,117850,244.004,122.7,4.4,2395.35,2017
14,11-3020,60,21.3,0.01,145980,4.9,105000,133550,181710,244.004,122.7,4.4,2395.35,2017
15,11-3021,60,21.3,0.01,145980,4.9,105000,133550,181710,244.004,122.7,4.4,2395.35,2017
16,11-3030,250,11.3,0.06,132170,7,87620,114940,149780,244.004,122.7,4.4,2395.35,2017
17,11-3031,250,11.3,0.06,132170,7,87620,114940,149780,244.004,122.7,4.4,2395.35,2017
18,11-3050,360,11.8,0.09,94070,4.1,65030,82230,112100,244.004,122.7,4.4,2395.35,2017
19,11-3051,360,11.8,0.09,94070,4.1,65030,82230,112100,244.004,122.7,4.4,2395.35,2017
20,11-3070,180,22.9,0.04,76830,7.6,53740,70140,97720,244.004,122.7,4.4,2395.35,2017
21,11-3071,180,22.9,0.04,76830,7.6,53740,70140,97720,244.004,122.7,4.4,2395.35,2017
22,11-3120,30,18.1,0.01,108570,9.8,67480,104750,127300,244.004,122.7,4.4,2395.35,2017
23,11-3121,30,18.1,0.01,108570,9.8,67480,104750,127300,244.004,122.7,4.4,2395.35,2017
24,11-9000,2650,9.4,0.63,85890,3.3,50740,74730,112900,244.004,122.7,4.4,2395.35,2017
25,11-9010,2240,10.8,0.53,84610,3.6,49930,73580,110980,244.004,122.7,4.4,2395.35,2017
26,11-9013,2240,10.8,0.53,84610,3.6,49930,73580,110980,244.004,122.7,4.4,2395.35,2017
27,11-9120,60,27.2,0.01,96100,5.3,76530,96570,115010,244.004,122.7,4.4,2395.35,2017
28,11-9121,60,27.2,0.01,96100,5.3,76530,96570,115010,244.004,122.7,4.4,2395.35,2017
31,11-9190,260,15.8,0.06,102530,4.8,65380,90920,134170,244.004,122.7,4.4,2395.35,2017
32,11-9199,260,15.8,0.06,102530,4.8,65380,90920,134170,244.004,122.7,4.4,2395.35,2017
33,13-0000,2540,11.1,0.6,59040,3.5,36640,54850,74240,244.004,122.7,4.4,2395.35,2017
34,13-1000,2030,13.4,0.48,56290,4.3,33720,50420,71170,244.004,122.7,4.4,2395.35,2017
35,13-1020,350,19.5,0.08,56160,3.7,39590,50300,63540,244.004,122.7,4.4,2395.35,2017
36,13-1020,350,19.5,0.08,56160,3.7,39590,50300,63540,244.004,122.7,4.4,2395.35,2017
37,13-1070,850,28.4,0.2,51010,9.7,22670,38450,66170,244.004,122.7,4.4,2395.35,2017
38,13-1071,130,9.4,0.03,62890,2.7,49630,60610,75440,244.004,122.7,4.4,2395.35,2017
39,13-1074,720,33.5,0.17,48860,12.4,20800,35100,63760,244.004,122.7,4.4,2395.35,2017
40,13-1080,60,12.7,0.01,60090,3.5,46640,55830,64470,244.004,122.7,4.4,2395.35,2017
41,13-1081,60,12.7,0.01,60090,3.5,46640,55830,64470,244.004,122.7,4.4,2395.35,2017
42,13-1110,40,35.7,0.01,89300,20.1,51470,71900,136120,244.004,122.7,4.4,2395.35,2017
43,13-1111,40,35.7,0.01,89300,20.1,51470,71900,136120,244.004,122.7,4.4,2395.35,2017
44,13-1120,90,31.6,0.02,47480,4.4,37370,43850,50510,244.004,122.7,4.4,2395.35,2017
45,13-1121,90,31.6,0.02,47480,4.4,37370,43850,50510,244.004,122.7,4.4,2395.35,2017
46,13-1150,50,15.6,0.01,54890,5,37330,55920,68830,244.004,122.7,4.4,2395.35,2017
47,13-1151,50,15.6,0.01,54890,5,37330,55920,68830,244.004,122.7,4.4,2395.35,2017
48,13-1160,140,14.2,0.03,63510,5.7,44850,57780,75580,244.004,122.7,4.4,2395.35,2017
49,13-1161,140,14.2,0.03,63510,5.7,44850,57780,75580,244.004,122.7,4.4,2395.35,2017
50,13-1190,400,18.4,0.09,61800,5.1,38770,58690,81590,244.004,122.7,4.4,2395.35,2017
51,13-1199,400,18.4,0.09,61800,5.1,38770,58690,81590,244.004,122.7,4.4,2395.35,2017
52,13-2000,520,10.4,0.12,69820,2.7,54170,64140,83170,244.004,122.7,4.4,2395.35,2017
53,13-2010,470,10.8,0.11,69500,2.9,54040,63660,81730,244.004,122.7,4.4,2395.35,2017
54,13-2011,470,10.8,0.11,69500,2.9,54040,63660,81730,244.004,122.7,4.4,2395.35,2017
55,15-0000,290,12.2,0.07,76290,4.4,53990,70810,96070,244.004,122.7,4.4,2395.35,2017
56,15-1100,290,12.2,0.07,76250,4.4,53950,70670,96020,244.004,122.7,4.4,2395.35,2017
57,15-1130,60,16.2,0.01,85090,5.4,63340,82160,100080,244.004,122.7,4.4,2395.35,2017
58,15-1140,90,13.4,0.02,86330,6.3,59150,80720,105420,244.004,122.7,4.4,2395.35,2017
59,15-1141,50,16.3,0.01,89700,10.5,59220,81590,106220,244.004,122.7,4.4,2395.35,2017
60,15-1142,40,18.9,0.01,78140,4.6,57730,75770,101080,244.004,122.7,4.4,2395.35,2017
61,15-1150,90,26.3,0.02,56800,8.3,40230,55010,65870,244.004,122.7,4.4,2395.35,2017
62,15-1151,70,30.6,0.02,56460,10.1,39860,53910,65130,244.004,122.7,4.4,2395.35,2017
63,17-0000,110,31.1,0.03,70020,4.5,55850,70130,81540,244.004,122.7,4.4,2395.35,2017
64,17-2000,80,34.9,0.02,76140,4,64550,73700,82500,244.004,122.7,4.4,2395.35,2017
67,17-2110,40,35.8,0.01,81700,5.3,68190,76280,90750,244.004,122.7,4.4,2395.35,2017
68,17-2112,40,40.5,0.01,81550,6.3,68030,75400,87740,244.004,122.7,4.4,2395.35,2017
69,19-0000,3090,8.4,0.73,52980,2.8,35690,47960,65530,244.004,122.7,4.4,2395.35,2017
70,19-1000,1610,11.0,0.38,66270,2.5,49060,63040,80340,244.004,122.7,4.4,2395.35,2017
71,19-1010,940,14.9,0.22,65140,3.6,45620,61160,80360,244.004,122.7,4.4,2395.35,2017
72,19-1011,540,22.2,0.13,63250,4.3,43430,59560,77980,244.004,122.7,4.4,2395.35,2017
73,19-1012,90,16.0,0.02,62250,5,48480,57640,70130,244.004,122.7,4.4,2395.35,2017
74,19-1013,310,23.2,0.07,69200,6.9,50120,65390,88920,244.004,122.7,4.4,2395.35,2017
75,19-1020,50,22.6,0.01,75780,7,56150,68510,91640,244.004,122.7,4.4,2395.35,2017
76,19-1029,40,24.8,0.01,77750,7.9,56810,70830,92480,244.004,122.7,4.4,2395.35,2017
77,19-1030,620,15.4,0.15,67240,3,52040,65980,79700,244.004,122.7,4.4,2395.35,2017
78,19-1032,590,16.0,0.14,66820,3.1,51960,66060,79460,244.004,122.7,4.4,2395.35,2017
79,19-4000,1460,10.6,0.35,38500,2.2,29930,37690,46640,244.004,122.7,4.4,2395.35,2017
80,19-4010,1320,11.6,0.31,37940,2.3,29740,37280,45900,244.004,122.7,4.4,2395.35,2017
81,19-4011,1320,11.6,0.31,37940,2.3,29740,37280,45900,244.004,122.7,4.4,2395.35,2017
82,19-4020,70,25.8,0.02,35910,8.4,26470,34640,43170,244.004,122.7,4.4,2395.35,2017
83,19-4021,70,25.8,0.02,35910,8.4,26470,34640,43170,244.004,122.7,4.4,2395.35,2017
84,19-4090,80,31.4,0.02,50800,8,42090,52230,59640,244.004,122.7,4.4,2395.35,2017
85,19-4093,60,36.1,0.02,51020,11.4,42560,52090,59840,244.004,122.7,4.4,2395.35,2017
86,25-0000,410,14.3,0.1,43490,8.6,25280,38440,54820,244.004,122.7,4.4,2395.35,2017
87,25-3000,360,14.5,0.09,38550,5.1,24670,36480,49860,244.004,122.7,4.4,2395.35,2017
88,25-3020,360,14.5,0.09,38550,5.1,24670,36480,49860,244.004,122.7,4.4,2395.35,2017
89,25-3021,360,14.5,0.09,38550,5.1,24670,36480,49860,244.004,122.7,4.4,2395.35,2017
90,27-0000,100,15.7,0.02,53710,7.5,36690,49720,71290,244.004,122.7,4.4,2395.35,2017
91,27-3000,70,19.6,0.02,56740,8.3,38630,52000,74720,244.004,122.7,4.4,2395.35,2017
92,27-3030,60,20.8,0.01,57600,9.9,39090,51630,76020,244.004,122.7,4.4,2395.35,2017
93,27-3031,60,20.8,0.01,57600,9.9,39090,51630,76020,244.004,122.7,4.4,2395.35,2017
94,29-0000,300,10.2,0.07,58660,7.8,30950,51580,81440,244.004,122.7,4.4,2395.35,2017
95,29-1000,90,23.4,0.02,86850,6.1,70840,85910,100050,244.004,122.7,4.4,2395.35,2017
96,29-1130,80,24.5,0.02,86620,6.5,70050,85070,100310,244.004,122.7,4.4,2395.35,2017
97,29-1131,80,24.5,0.02,86620,6.5,70050,85070,100310,244.004,122.7,4.4,2395.35,2017
98,29-2000,50,24.6,0.01,35520,4,31440,35340,38990,244.004,122.7,4.4,2395.35,2017
99,29-2050,50,24.6,0.01,35520,4,31440,35340,38990,244.004,122.7,4.4,2395.35,2017
100,29-2056,50,24.6,0.01,35520,4,31440,35340,38990,244.004,122.7,4.4,2395.35,2017
101,29-9000,170,10.8,0.04,50650,10.6,29330,40810,71130,244.004,122.7,4.4,2395.35,2017
102,29-9010,170,10.8,0.04,50650,10.6,29330,40810,71130,244.004,122.7,4.4,2395.35,2017
103,29-9011,130,7.6,0.03,45250,11.8,28210,33570,62770,244.004,122.7,4.4,2395.35,2017
104,29-9012,40,38.9,0.01,68180,6.1,51960,70360,85810,244.004,122.7,4.4,2395.35,2017
105,31-0000,50,21.6,0.01,34330,5.4,29040,33610,37390,244.004,122.7,4.4,2395.35,2017
