,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,404040,0.9,100.0,26200,0.8,18230,19610,28430,231.893,139.4,7.5,1639.84,2013
1,11-0000,7450,4.7,1.84,92630,2.1,56560,77220,113310,231.893,139.4,7.5,1639.84,2013
2,11-1000,3910,5.2,0.97,100360,2.6,59820,82440,121730,231.893,139.4,7.5,1639.84,2013
3,11-1010,170,12.6,0.04,166250,8.1,96640,164200,239200,231.893,139.4,7.5,1639.84,2013
4,11-1011,170,12.6,0.04,166250,8.1,96640,164200,239200,231.893,139.4,7.5,1639.84,2013
5,11-1020,3740,5.3,0.92,97290,2.6,59510,80680,118120,231.893,139.4,7.5,1639.84,2013
6,11-1021,3740,5.3,0.92,97290,2.6,59510,80680,118120,231.893,139.4,7.5,1639.84,2013
7,11-2000,320,9.4,0.08,113890,6.4,65670,99850,142700,231.893,139.4,7.5,1639.84,2013
8,11-2020,300,9.9,0.07,115980,6.7,68080,102220,143170,231.893,139.4,7.5,1639.84,2013
9,11-2022,280,10.5,0.07,116830,6.9,68670,103230,144080,231.893,139.4,7.5,1639.84,2013
10,11-3000,1080,8.5,0.27,85700,3.2,58460,74910,102040,231.893,139.4,7.5,1639.84,2013
11,11-3010,80,18.1,0.02,76460,6.1,46180,69760,99570,231.893,139.4,7.5,1639.84,2013
12,11-3011,80,18.1,0.02,76460,6.1,46180,69760,99570,231.893,139.4,7.5,1639.84,2013
13,11-3030,250,10.6,0.06,106290,7.3,69550,94170,120330,231.893,139.4,7.5,1639.84,2013
14,11-3031,250,10.6,0.06,106290,7.3,69550,94170,120330,231.893,139.4,7.5,1639.84,2013
15,11-3050,430,12.7,0.11,77160,5.1,54390,67150,87650,231.893,139.4,7.5,1639.84,2013
16,11-3051,430,12.7,0.11,77160,5.1,54390,67150,87650,231.893,139.4,7.5,1639.84,2013
17,11-3070,280,16.8,0.07,82720,4.5,61850,76270,98950,231.893,139.4,7.5,1639.84,2013
18,11-3071,280,16.8,0.07,82720,4.5,61850,76270,98950,231.893,139.4,7.5,1639.84,2013
19,11-9000,2140,10.0,0.53,78810,3.9,48310,70960,98130,231.893,139.4,7.5,1639.84,2013
20,11-9010,1890,10.7,0.47,75000,3.3,48090,70700,95410,231.893,139.4,7.5,1639.84,2013
21,11-9013,1890,10.7,0.47,75000,3.3,48090,70700,95410,231.893,139.4,7.5,1639.84,2013
22,11-9190,160,27.2,0.04,106140,12.5,55910,75050,159660,231.893,139.4,7.5,1639.84,2013
23,11-9199,160,27.2,0.04,106140,12.5,55910,75050,159660,231.893,139.4,7.5,1639.84,2013
24,13-0000,2840,10.1,0.7,51620,4.7,30060,48890,68810,231.893,139.4,7.5,1639.84,2013
25,13-1000,2180,12.3,0.54,48220,6,25750,43160,64510,231.893,139.4,7.5,1639.84,2013
26,13-1020,390,32.5,0.1,54670,6.6,30640,52750,75050,231.893,139.4,7.5,1639.84,2013
27,13-1021,210,48.1,0.05,49900,9.3,27040,35540,81200,231.893,139.4,7.5,1639.84,2013
28,13-1023,170,43.5,0.04,59370,7.1,45180,63290,72030,231.893,139.4,7.5,1639.84,2013
31,13-1070,1250,17.1,0.31,43720,8.7,21130,36590,60040,231.893,139.4,7.5,1639.84,2013
32,13-1071,50,34.4,0.01,58510,3.8,41010,63600,73890,231.893,139.4,7.5,1639.84,2013
33,13-1074,1190,17.8,0.29,43040,9.5,20810,35570,58290,231.893,139.4,7.5,1639.84,2013
36,13-1160,60,32.9,0.02,45050,3.5,38180,43480,49970,231.893,139.4,7.5,1639.84,2013
37,13-1161,60,32.9,0.02,45050,3.5,38180,43480,49970,231.893,139.4,7.5,1639.84,2013
38,13-1190,330,28.2,0.08,49310,3.6,34590,51170,59780,231.893,139.4,7.5,1639.84,2013
39,13-1199,330,28.2,0.08,49310,3.6,34590,51170,59780,231.893,139.4,7.5,1639.84,2013
