,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,422650,0.0,100.0,40220,0.9,31200,34020,41080,291.359,148.2,3.6,4040.36,2022
1,11-0000,11030,2.8,2.61,103430,2.8,59760,86140,126040,291.359,148.2,3.6,4040.36,2022
2,11-1000,5870,3.9,1.39,107920,3.9,57940,84610,127650,291.359,148.2,3.6,4040.36,2022
3,11-1010,120,13.1,0.03,180860,7.3,109580,151990,234220,291.359,148.2,3.6,4040.36,2022
4,11-1011,120,13.1,0.03,180860,7.3,109580,151990,234220,291.359,148.2,3.6,4040.36,2022
5,11-1020,5750,4.0,1.36,106350,4.1,57710,83660,126610,291.359,148.2,3.6,4040.36,2022
6,11-1021,5750,4.0,1.36,106350,4.1,57710,83660,126610,291.359,148.2,3.6,4040.36,2022
8,11-2020,370,19.8,0.09,125250,5.0,87460,100360,155200,291.359,148.2,3.6,4040.36,2022
9,11-2021,50,30.6,0.01,124850,7.6,63440,120000,159370,291.359,148.2,3.6,4040.36,2022
10,11-2022,320,19.4,0.08,125310,5.6,89910,100350,155200,291.359,148.2,3.6,4040.36,2022
11,11-3000,1770,6.3,0.42,114720,2.8,76550,101390,134190,291.359,148.2,3.6,4040.36,2022
12,11-3010,390,14.1,0.09,123810,8.2,82060,103980,145340,291.359,148.2,3.6,4040.36,2022
13,11-3012,200,19.5,0.05,138070,11.7,82060,126320,172330,291.359,148.2,3.6,4040.36,2022
14,11-3013,190,17.6,0.04,108460,5.9,82580,101390,127870,291.359,148.2,3.6,4040.36,2022
19,11-3050,560,8.0,0.13,94690,3.1,65580,93230,114980,291.359,148.2,3.6,4040.36,2022
20,11-3051,560,8.0,0.13,94690,3.1,65580,93230,114980,291.359,148.2,3.6,4040.36,2022
23,11-3070,260,9.3,0.06,87680,3.4,55150,76200,115240,291.359,148.2,3.6,4040.36,2022
24,11-3071,260,9.3,0.06,87680,3.4,55150,76200,115240,291.359,148.2,3.6,4040.36,2022
25,11-3120,110,13.4,0.03,109410,5.8,74270,104460,131560,291.359,148.2,3.6,4040.36,2022
26,11-3121,110,13.4,0.03,109410,5.8,74270,104460,131560,291.359,148.2,3.6,4040.36,2022
28,11-9010,2640,5.5,0.62,81560,3.2,49980,73910,101890,291.359,148.2,3.6,4040.36,2022
29,11-9013,2640,5.5,0.62,81560,3.2,49980,73910,101890,291.359,148.2,3.6,4040.36,2022
36,13-1040,70,17.4,0.02,59950,7.2,47610,56180,72590,291.359,148.2,3.6,4040.36,2022
37,13-1041,70,17.4,0.02,59950,7.2,47610,56180,72590,291.359,148.2,3.6,4040.36,2022
40,13-1074,550,15.5,0.13,54720,6.5,34890,49340,72790,291.359,148.2,3.6,4040.36,2022
43,13-1082,190,24.6,0.05,62870,8.0,42610,53050,83680,291.359,148.2,3.6,4040.36,2022
46,13-1120,60,22.1,0.01,65550,9.2,41940,54100,88400,291.359,148.2,3.6,4040.36,2022
47,13-1121,60,22.1,0.01,65550,9.2,41940,54100,88400,291.359,148.2,3.6,4040.36,2022
48,13-1160,170,11.4,0.04,74590,4.3,59160,64600,87280,291.359,148.2,3.6,4040.36,2022
49,13-1161,170,11.4,0.04,74590,4.3,59160,64600,87280,291.359,148.2,3.6,4040.36,2022
57,13-2050,40,32.0,0.01,98160,5.8,71380,84460,129220,291.359,148.2,3.6,4040.36,2022
58,13-2051,40,32.0,0.01,98160,5.8,71380,84460,129220,291.359,148.2,3.6,4040.36,2022
61,15-1210,70,15.1,0.02,106140,7.6,80740,99140,123440,291.359,148.2,3.6,4040.36,2022
62,15-1211,70,16.2,0.02,105630,8.4,80740,91770,123440,291.359,148.2,3.6,4040.36,2022
63,15-1230,150,13.7,0.03,57670,4.1,46610,55690,64880,291.359,148.2,3.6,4040.36,2022
64,15-1232,130,12.6,0.03,57190,4.2,46430,55890,65250,291.359,148.2,3.6,4040.36,2022
66,15-1244,40,16.8,0.01,93080,4.4,70000,86480,108960,291.359,148.2,3.6,4040.36,2022
67,15-1250,90,13.6,0.02,100790,3.5,79910,104120,111850,291.359,148.2,3.6,4040.36,2022
68,15-1252,60,15.7,0.01,106760,2.9,98660,104120,120660,291.359,148.2,3.6,4040.36,2022
69,15-1290,90,16.4,0.02,74880,7.8,52700,60620,77710,291.359,148.2,3.6,4040.36,2022
70,15-1299,90,16.4,0.02,74880,7.8,52700,60620,77710,291.359,148.2,3.6,4040.36,2022
73,17-2110,50,20.3,0.01,66560,6.4,53280,64890,77230,291.359,148.2,3.6,4040.36,2022
74,17-2112,40,25.5,0.01,71190,6.7,61420,77230,77230,291.359,148.2,3.6,4040.36,2022
