OCC_CODE,YEAR,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX
15,2013,14765620,2.321869520969461,275.9,82014.76990468398,1.019970386119509,58847.929148928386,78449.0921681582,101806.48847119186,231.893,139.4,7.5,1639.84
15,2014,15311970,2.1558059534563987,285.06,83979.90295827381,1.0188743254784245,59743.30703364753,80138.466480799,104482.8658559284,236.918,140.1,6.3,1889.77
15,2015,15993210,2.16086376584555,294.71,86170.5855547448,1.005888441677102,61039.15120854413,82282.44987716663,107488.41669683572,237.001,126.5,5.6,2111.94
15,2016,16655240,2.1154797530644056,304.79,87882.15373660182,0.9332438934987866,61974.524293855866,83728.06689666436,109707.55529791224,239.557,119.9,4.8,2065.55
15,2017,17030740,2.132664289164654,308.81,89817.11858674373,0.9306064805696543,63283.125154867026,85400.6531601093,111914.39767150459,244.004,122.7,4.4,2395.35
15,2018,17522010,2.218989895398081,312.91,91525.58452483476,0.9708000444638949,64548.543471896206,87108.47482109643,114022.12945889198,250.792,128.2,3.8,2701.49
15,2019,18138040,1.9282108202882184,316.38,93770.11911430342,1.0450375617738035,65837.71988594138,89129.25421379598,117030.3605571495,255.296,127.0,3.6,2854.71
15,2020,18132060,2.032547381135426,324.79,96647.25374833307,1.11993496213975,67732.89642213847,92014.07382283093,120916.62562334341,255.848,119.0,13.2,2919.62
15,2021,18521510,1.8753948713651045,329.33,99958.56669353633,0.8620082828618567,68857.91332888085,94316.71009005206,123543.94584458826,268.452,132.8,5.8,4167.85
15,2022,19862530,1.6890068893473438,330.67,108088.58818086114,0.8824537013710123,73392.20015274992,100342.94493199003,131546.5963550464,291.359,148.2,3.6,4040.36
15,2023,20645940,1.5782810577273936,338.63,113206.98092215709,0.718336490806705,77945.51675535238,106947.37915541748,139797.5363437073,303.365,139.7,3.7,4146.17
17,2005,4751820,3.154002883680967,84.92,63906.21568157043,0.8813766136395884,46926.460724522396,60960.70688704539,78485.05597855138,193.6,107.9,5.1,1178.28
17,2006,4846230,3.1287475004139744,84.6,66160.93222979511,0.8682881351454081,48347.147101974115,63073.95102997588,81311.78006409106,201.3,117.2,4.6,1290.01
17,2007,4958110,3.0114448843446153,84.09,68859.17894116911,0.8590263255790335,50178.428009866664,65609.57241771562,84722.89400598212,206.755,118.6,4.4,1511.14
17,2008,5023710,2.8857489792746893,85.69,71445.23977299646,0.9151161205335857,51663.406307290825,67850.66695728854,87950.48229296676,215.208,141.2,5.4,1403.22
17,2009,4807280,2.9008079417518187,87.09,73563.62506448553,0.8911675640764578,53231.98862974489,69794.7945615816,90285.01553893262,213.022,116.8,9.4,902.41
17,2010,4505830,2.8750318954953458,84.97,75366.92416269588,0.9015537676746971,54561.50500573701,71392.41444972402,92324.22832197398,217.29,126.7,9.6,1125.06
17,2011,4610050,2.9280424349195284,88.58,77108.20286114034,0.9080680274015404,55945.37683973059,73022.42734894415,94066.59146863916,224.806,143.1,9.0,1338.31
17,2012,9403490,2.8410435008095307,176.92,78984.41332951914,0.8591033807336821,58188.899557504716,75028.2792133559,96154.38630763684,228.713,142.0,8.2,1341.27
17,2013,9496280,2.6323059096659,175.05,80076.47645183167,0.8160283866173117,58906.50719018395,76041.62556285199,97467.09094508586,231.893,139.4,7.5,1639.84
17,2014,9645670,2.6207256783025525,174.73,81544.79121719902,0.8380750163464535,59873.34417412165,77305.0010004489,99215.86042234495,236.918,140.1,6.3,1889.77
17,2015,9877880,2.5853269049277245,174.53,83023.44511170413,0.9192443207276092,60519.67813943882,78405.52601367905,101033.3071570013,237.001,126.5,5.6,2111.94
17,2016,9971460,2.654974692403356,174.19,84349.49958180648,0.8824421942183649,61204.12413026778,79419.24188634362,102485.2790363698,239.557,119.9,4.8,2065.55
17,2017,10033430,2.659604936387897,173.52,86220.19915422742,0.9116204598561952,62276.84986091496,80880.44535119097,104645.16181405561,244.004,122.7,4.4,2395.35
17,2018,10172550,2.530656623332985,171.46,87361.74862743363,0.8477373945052459,63202.75650648068,81961.99228315418,106006.79919980733,250.792,128.2,3.8,2701.49
17,2019,10320480,2.517097370529541,170.92,88801.03504875742,0.9034425776635541,64399.484326310405,83329.58656961692,107850.52841534502,255.296,127.0,3.6,2854.71
17,2020,10002060,2.558344069057185,170.37,90394.53970482081,0.8862630330620569,65728.19319220241,85026.58420365404,109947.99690263806,255.848,119.0,13.2,2919.62
17,2021,9616660,2.2209408484617166,162.9,91802.26376933363,0.821564559115511,67362.19460810718,85937.3104071476,109504.58447111576,268.452,132.8,5.8,4167.85
17,2022,9773690,2.1550962852130535,156.62,94499.47748496218,0.8928299358133179,69096.44623473837,87788.39856799223,112768.1690027001,291.359,148.2,3.6,4040.36
17,2023,10110310,2.0652249893124486,156.1,99193.72092448204,0.8116704655192831,72728.7716894932,92505.6065639926,119101.50141785959,303.365,139.7,3.7,4146.17
19,2005,2353550,4.1053136712479406,40.23,57994.65114401648,1.5785243534815907,38896.42731193304,52578.91092179898,71676.70344798283,193.6,107.9,5.1,1178.28
19,2006,2441400,3.9484967744867645,40.92,59607.07266322602,1.4756836201346502,40049.721594167284,54228.043130990416,73977.62337183583,201.3,117.2,4.6,1290.01
19,2007,2500820,3.7230296396653046,40.98,61995.61671771659,1.4578010407247515,41786.765420941934,56569.68434353532,76990.82824833454,206.755,118.6,4.4,1511.14
19,2008,2581680,3.5789458772406175,41.46,64260.34907502092,1.4547008195190287,42984.67648972762,58610.1891404047,79902.76932075238,215.208,141.2,5.4,1403.22
19,2009,2604310,3.5600857925456992,42.31,65544.36361262677,1.4075977911968487,43781.03735730385,59583.68085980548,81093.6805142245,213.022,116.8,9.4,902.41
19,2010,2115780,3.568797320977808,32.79,66240.84271521613,1.3650185809642021,44263.93954002779,60062.63108640785,81754.40215901464,217.29,126.7,9.6,1125.06
19,2011,2154240,3.4896585286525896,33.09,67382.54697712418,1.3542711054649623,44875.402183600716,61086.154606729055,83129.12609551396,224.806,143.1,9.0,1338.31
19,2012,4374770,3.465306068083142,66.85,68207.23114586595,1.4390361087006407,46033.25697122363,62379.91624702556,84031.05178100792,228.713,142.0,8.2,1341.27
19,2013,4493770,3.717083865306799,67.21000000000001,69239.29675973626,1.4540354808539884,46595.695841131164,63252.40526328673,85521.22772193504,231.893,139.4,7.5,1639.84
19,2014,4556550,3.613853464940453,68.07000000000001,70024.2284842699,1.4228578641170064,47251.561576192515,64027.138690456595,86416.60447048754,236.918,140.1,6.3,1889.77
19,2015,4562920,3.688142471184029,66.78,71135.4098472031,1.485175721688827,47964.31447406486,64751.40186547211,87506.66051563472,237.001,126.5,5.6,2111.94
19,2016,4576500,3.591017597423581,67.66,72855.54766743144,1.4815739040404126,48992.994449907135,66138.4465639681,89358.28768709712,239.557,119.9,4.8,2065.55
19,2017,4543470,3.6566258783117926,65.82000000000001,74368.56466533289,1.466490813237509,50072.67914171327,67568.727052231,90975.25752343473,244.004,122.7,4.4,2395.35
19,2018,4613720,3.7651840612550767,65.89,76141.53216926905,1.4789833364108733,51183.14071941947,69161.48964393158,93087.80966335192,250.792,128.2,3.8,2701.49
19,2019,5103410,3.823511536499696,73.29,77505.77096490386,1.4573924104464422,52770.0975622182,70834.34599610849,94676.6426173872,255.296,127.0,3.6,2854.71
19,2020,5131460,3.81009712770562,72.59,79320.83397317723,1.4304042137797421,53794.963850444125,72541.06566162457,97296.12691124943,255.848,119.0,13.2,2919.62
19,2021,5036350,3.0732685368722423,71.63,80801.87367835833,1.2736533363925624,55277.863611544075,73856.41315635332,98015.23678854726,268.452,132.8,5.8,4167.85
19,2022,5156010,2.706704214750517,70.41,84004.17815326192,1.2625508857832242,57448.51437448725,76220.74625534085,101521.53067973103,291.359,148.2,3.6,4040.36
19,2023,5482690,2.6470387668605664,71.58,88075.16210108541,1.2673054656649692,61396.83985415918,80544.96301997743,106298.18404834124,303.365,139.7,3.7,4146.17
21,2005,3382840,1.9849945595786938,32.85,37534.26094642372,0.7813768896392134,27601.431992054015,35026.68021544028,45361.220217332186,193.6,107.9,5.1,1178.28
21,2006,3489560,1.7143224445782348,33.05,39018.88014534784,0.6945422978951509,28557.837864945723,36439.91712422197,47162.93206020243,201.3,117.2,4.6,1290.01
21,2007,3581440,1.729045020584553,32.92,40543.64138447105,0.7207651223403684,29612.4234665386,37848.28432139028,48982.43915855075,206.755,118.6,4.4,1511.14
21,2008,3719800,1.638043446579834,33.53,41790.15785794935,0.691212437735353,30364.121753857733,38969.16890693048,50574.89908059573,215.208,141.2,5.4,1403.22
21,2009,3768470,1.569390498852746,33.4,42751.61110477196,0.671154084580462,31139.496612683663,39871.24275899769,51716.139069702025,213.022,116.8,9.4,902.41
21,2010,3790890,1.6666231449592508,33.63,43159.219972090985,0.713999357572539,31334.528408896065,40276.95250983279,52191.6192239817,217.29,126.7,9.6,1125.06
21,2011,3776160,1.6043057140110655,33.6,43835.832274056185,0.6715025359711502,31718.42946273463,40930.69716325579,53109.120799966106,224.806,143.1,9.0,1338.31
21,2012,7522720,1.384890708502707,66.74,44234.269958206605,0.6215515165068061,31775.70284418402,41215.08633845205,53652.89328859774,228.713,142.0,8.2,1341.27
21,2013,7603960,1.3631165820640274,66.59,44709.307413505594,0.6008957229268818,32103.62966138696,41574.127336282676,54180.05561575811,231.893,139.4,7.5,1639.84
21,2014,7718920,1.387871751173263,67.27,45311.997403781876,0.650361454162435,32474.069118477713,41999.96647199349,54799.16939157291,236.918,140.1,6.3,1889.77
21,2015,7882240,1.4849478104295462,67.81,46154.778793845406,0.7028542695598091,32963.25975864729,42647.96925746996,55737.79519527444,237.001,126.5,5.6,2111.94
21,2016,8068740,1.4652437724064165,68.16,47198.80323321857,0.7219943934932882,33665.214928229194,43528.394978645985,56992.982336771296,239.557,119.9,4.8,2065.55
21,2017,8379880,1.5370631806286283,69.24,48052.60361723557,0.7268706749746877,34302.219697656765,44286.02108860747,58050.75220647551,244.004,122.7,4.4,2395.35
21,2018,8679310,1.4435753558594284,70.66,49282.56891388832,0.7160379172482749,35251.32738662405,45357.16883024111,59452.88875498167,250.792,128.2,3.8,2701.49
21,2019,8952960,1.5312828362902546,71.73,50479.69746318536,0.7421544393000513,36280.205574469226,46460.66256299592,60720.46527628851,255.296,127.0,3.6,2854.71
21,2020,8902830,1.598523057744498,74.05,52198.56942118405,0.7087560955700783,37500.9559095254,47976.314621305806,62796.58012115249,255.848,119.0,13.2,2919.62
21,2021,8890060,1.3823115897092684,73.53,53976.1705320324,0.6106340151775227,39957.70725956855,50634.15867834413,64935.363304634615,268.452,132.8,5.8,4167.85
21,2022,9247280,1.2634988938749776,74.92,55765.422902734645,0.7699466287450538,40819.17846112586,51170.57490418804,65647.67444048412,291.359,148.2,3.6,4040.36
21,2023,9654890,1.195973439530239,75.45,58976.347923176756,0.6861013447784811,43096.84411733329,53469.57167818587,68425.44780934842,303.365,139.7,3.7,4146.17
23,2005,1970760,2.2565274393190244,30.12,81114.95453530617,1.195582933645442,46688.48692890053,69676.66605776452,126136.13347135116,193.6,107.9,5.1,1178.28
23,2006,1944800,2.082905719629694,29.19,85463.25807280955,1.1883546049309361,49138.850318798846,73907.81041752365,132967.83365898806,201.3,117.2,4.6,1290.01
23,2007,1996580,2.0415595633240335,28.97,88462.85989041261,0.9667085665312328,50754.304460627674,76509.52634004147,134904.08458463973,206.755,118.6,4.4,1511.14
23,2008,2000610,1.6637955435910539,28.54,92256.46762737365,1.010583281855182,52277.5710908173,78588.86074747202,136352.10510794207,215.208,141.2,5.4,1403.22
23,2009,1991230,1.5880114265342598,28.72,95885.96073783541,1.0152568954617622,53596.98417561005,81009.61415808319,140561.86226603657,213.022,116.8,9.4,902.41
23,2010,1984460,1.6865328614622652,29.000000000000004,96948.1913971559,1.0471014618268677,53642.87977585842,81222.38865988732,141708.47696602604,217.29,126.7,9.6,1125.06
23,2011,1996560,1.742947364010067,28.869999999999997,98323.86439676244,1.0970439049819247,54125.890080939214,82131.70232800416,130432.58083904315,224.806,143.1,9.0,1338.31
23,2012,4062350,1.7314544460838819,57.86,98527.98619025933,1.025197969147692,57018.99033810479,84975.16718155747,130373.90340566421,228.713,142.0,8.2,1341.27
23,2013,4162950,1.7541318036021745,58.6,99651.45271982609,1.008819957842812,57780.449440901284,85699.19350460611,132416.42477089562,231.893,139.4,7.5,1639.84
23,2014,4210530,1.7747644492812111,59.18,101123.3225033428,0.9635820285492704,58221.516436173115,86598.44584885988,148959.361149309,236.918,140.1,6.3,1889.77
23,2015,4233480,1.7600912133302984,58.91,103614.24948269509,1.016883516932235,58973.55764052269,87920.64074945435,150883.7990022393,237.001,126.5,5.6,2111.94
23,2016,4301830,1.7060574195915668,59.42,105983.67339016186,0.9983860443055691,59893.43570062043,89289.02690250428,138414.43027734707,239.557,119.9,4.8,2065.55
23,2017,4379070,1.6022189529952113,58.85,107388.69616151374,1.00510176157667,60469.56881255609,90243.29583678726,140171.16474502577,244.004,122.7,4.4,2395.35
23,2018,4509270,1.5578714404526994,59.17,108710.64662351113,1.0360311026515305,61305.37188946326,91212.39085262138,142091.6987450297,250.792,128.2,3.8,2701.49
23,2019,4599000,1.571664487054022,58.86,109676.45790389215,1.044953037408752,62643.30289193303,92837.63387692977,144071.47571211134,255.296,127.0,3.6,2854.71
23,2020,4618160,1.5953583182047781,59.24,112326.03034541896,1.0535503309128116,64723.39210854539,95388.4342248861,147203.16699724566,255.848,119.0,13.2,2919.62
23,2021,4706130,1.9794758966032993,58.57,113085.42551948204,1.3252134979367367,65084.82018133796,96342.73254244996,156042.42766349422,268.452,132.8,5.8,4167.85
23,2022,4849040,1.686480828839995,57.68,124547.0972192434,2.0162683570249817,72975.974130962,103251.00094039233,158062.06694520978,291.359,148.2,3.6,4040.36
23,2023,4922020,1.5004081467378456,57.17,133787.49480904182,1.6932980610064954,77026.44517901186,110379.92537616669,164935.19487933815,303.365,139.7,3.7,4146.17
25,2005,16104230,1.3467479016125075,139.63,43476.90589366893,1.31501096368193,29599.08405431368,39853.08384815667,53315.61592202794,193.6,107.9,5.1,1178.28
25,2006,16383190,1.2205974498177141,139.96,45335.54337097964,1.1727707967795526,30705.229988787287,41394.361415572916,55534.72099755908,201.3,117.2,4.6,1290.01
25,2007,16621930,1.1123048337346162,139.76000000000002,46607.7564518681,0.7003733664669384,31810.185297375214,42818.515762008385,57189.79234060064,206.755,118.6,4.4,1511.14
25,2008,16887420,1.0123785716014737,139.57999999999998,48452.839107453954,0.7754569341098126,33058.714581623484,44375.19068632153,59303.14721846203,215.208,141.2,5.4,1403.22
25,2009,16955090,1.0300195433457435,138.53,49521.28455230848,0.7997545312270709,33758.31168103502,45402.56212736116,60498.146951741335,213.022,116.8,9.4,902.41
25,2010,16890390,1.019853489918344,137.98,50424.51759254819,0.8257565992398215,34001.143727291084,45982.605351326994,61541.34894457736,217.29,126.7,9.6,1125.06
25,2011,16756500,1.0357407651870498,137.76,50902.08088801361,0.8055293752623128,34158.92473368544,46476.191627129774,62364.47639423508,224.806,143.1,9.0,1338.31
25,2012,33264000,1.0268846868871102,274.62,51299.284433621935,0.8655128684286754,34967.06499519,46598.33614417989,62360.4844997595,228.713,142.0,8.2,1341.27
25,2013,33355460,1.0685544775142974,274.69,51600.74588388228,0.8449931440915155,35111.608405340536,46863.45873209363,62748.069974151156,231.893,139.4,7.5,1639.84
25,2014,33664960,1.1099639880156416,276.59,52209.77960466907,0.8665048748530234,35393.91772038345,47335.61124088667,63538.953529129394,236.918,140.1,6.3,1889.77
25,2015,33769930,1.1103761903937803,275.69,52755.525720663325,0.7330810316479961,35699.24855041156,47818.577725805175,64198.591640551225,237.001,126.5,5.6,2111.94
25,2016,34506620,1.108235001927916,278.37,54512.50786950446,0.8316999451986241,36530.37067669914,48981.94570780911,66151.83789371431,239.557,119.9,4.8,2065.55
25,2017,34896160,1.1911294533912282,279.6,55463.20321777525,0.8242675464595594,37057.153724077376,49733.2531860239,67376.68760688855,244.004,122.7,4.4,2395.35
25,2018,35086500,1.2514193791988295,278.73,56604.94459977484,0.8131629032833899,37770.14670884813,50714.37144200761,68784.74316047483,250.792,128.2,3.8,2701.49
25,2019,35061000,1.2735660986518706,276.22,57829.6616639571,0.8568758998864838,38849.55555175266,51925.03677590485,70531.5047346054,255.296,127.0,3.6,2854.71
25,2020,33311550,1.3815145819573307,275.48,59932.62850873046,0.941880216351332,40053.514360634676,53456.64199054082,72811.76205850524,255.848,119.0,13.2,2919.62
