,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,429940,1.0,100.0,35890,0.7,27080,30020,37390,255.848,119.0,13.2,2919.62,2020
1,11-0000,8770,9.6,2.04,102880,6.2,53580,84300,126970,255.848,119.0,13.2,2919.62,2020
2,11-1000,4330,6.5,1.01,117530,7.4,58450,91210,141950,255.848,119.0,13.2,2919.62,2020
3,11-1010,100,15.8,0.02,183150,7.3,107850,166260,239200,255.848,119.0,13.2,2919.62,2020
4,11-1011,100,15.8,0.02,183150,7.3,107850,166260,239200,255.848,119.0,13.2,2919.62,2020
5,11-1020,4230,6.7,0.98,116060,7.7,57990,90200,139840,255.848,119.0,13.2,2919.62,2020
6,11-1021,4230,6.7,0.98,116060,7.7,57990,90200,139840,255.848,119.0,13.2,2919.62,2020
7,11-2000,250,19.2,0.06,133210,6.2,80660,125610,169320,255.848,119.0,13.2,2919.62,2020
8,11-2020,230,18.7,0.05,136630,7.0,84640,132070,173250,255.848,119.0,13.2,2919.62,2020
9,11-2022,210,20.6,0.05,136910,8.2,83230,132800,174860,255.848,119.0,13.2,2919.62,2020
10,11-3000,970,11.9,0.22,109820,3.1,75620,97600,133220,255.848,119.0,13.2,2919.62,2020
11,11-3010,230,25.8,0.05,98080,3.3,71540,91760,118820,255.848,119.0,13.2,2919.62,2020
12,11-3010,230,25.8,0.05,98080,3.3,71540,91760,118820,255.848,119.0,13.2,2919.62,2020
13,11-3020,50,21.7,0.01,134320,2.7,115560,131980,158290,255.848,119.0,13.2,2919.62,2020
14,11-3021,50,21.7,0.01,134320,2.7,115560,131980,158290,255.848,119.0,13.2,2919.62,2020
15,11-3030,190,15.3,0.04,149590,9.2,91180,134370,193120,255.848,119.0,13.2,2919.62,2020
16,11-3031,190,15.3,0.04,149590,9.2,91180,134370,193120,255.848,119.0,13.2,2919.62,2020
17,11-3050,290,19.2,0.07,94350,3.3,74190,92460,106810,255.848,119.0,13.2,2919.62,2020
