,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,413580,0.0,100.0,43010,0.6,33350,35640,44970,303.365,139.7,3.7,4146.17,2023
1,11-0000,12040,2.3,2.91,109590,1.2,65020,96150,130930,303.365,139.7,3.7,4146.17,2023
2,11-1000,6150,2.9,1.49,108990,1.9,61170,88740,130000,303.365,139.7,3.7,4146.17,2023
3,11-1010,130,12.9,0.03,226760,5.2,127940,181320,239200,303.365,139.7,3.7,4146.17,2023
4,11-1011,130,12.9,0.03,226760,5.2,127940,181320,239200,303.365,139.7,3.7,4146.17,2023
5,11-1020,6020,2.9,1.46,106410,2.0,60820,86380,128770,303.365,139.7,3.7,4146.17,2023
6,11-1021,6020,2.9,1.46,106410,2.0,60820,86380,128770,303.365,139.7,3.7,4146.17,2023
7,11-2000,440,8.5,0.11,144730,3.2,98790,134020,182690,303.365,139.7,3.7,4146.17,2023
8,11-2020,410,9.2,0.1,143790,3.2,96650,128330,188880,303.365,139.7,3.7,4146.17,2023
9,11-2021,60,20.9,0.01,133820,7.0,73900,125890,195610,303.365,139.7,3.7,4146.17,2023
10,11-2022,350,9.6,0.08,145570,3.4,98900,128330,188200,303.365,139.7,3.7,4146.17,2023
11,11-3000,2170,5.6,0.52,125040,2.0,80670,109460,142800,303.365,139.7,3.7,4146.17,2023
12,11-3010,460,7.9,0.11,122360,4.7,80670,106580,131680,303.365,139.7,3.7,4146.17,2023
13,11-3012,260,15.3,0.06,134750,7.8,80670,103080,142000,303.365,139.7,3.7,4146.17,2023
14,11-3013,210,15.9,0.05,106930,3.4,79840,110150,127100,303.365,139.7,3.7,4146.17,2023
15,11-3020,100,20.1,0.02,169140,5.4,115680,145680,203440,303.365,139.7,3.7,4146.17,2023
16,11-3021,100,20.1,0.02,169140,5.4,115680,145680,203440,303.365,139.7,3.7,4146.17,2023
17,11-3030,450,8.3,0.11,170030,4.2,115080,146150,206920,303.365,139.7,3.7,4146.17,2023
18,11-3031,450,8.3,0.11,170030,4.2,115080,146150,206920,303.365,139.7,3.7,4146.17,2023
19,11-3050,620,10.5,0.15,99040,3.1,76000,94880,123700,303.365,139.7,3.7,4146.17,2023
20,11-3051,620,10.5,0.15,99040,3.1,76000,94880,123700,303.365,139.7,3.7,4146.17,2023
21,11-3060,90,18.1,0.02,142960,6.1,83270,126730,195350,303.365,139.7,3.7,4146.17,2023
22,11-3061,90,18.1,0.02,142960,6.1,83270,126730,195350,303.365,139.7,3.7,4146.17,2023
23,11-3070,310,10.1,0.07,97850,2.6,67320,89620,126140,303.365,139.7,3.7,4146.17,2023
24,11-3071,310,10.1,0.07,97850,2.6,67320,89620,126140,303.365,139.7,3.7,4146.17,2023
25,11-3120,130,10.8,0.03,122310,4.6,82100,104850,156580,303.365,139.7,3.7,4146.17,2023
26,11-3121,130,10.8,0.03,122310,4.6,82100,104850,156580,303.365,139.7,3.7,4146.17,2023
27,11-9000,3280,4.9,0.79,95760,1.8,64030,89340,122860,303.365,139.7,3.7,4146.17,2023
28,11-9010,2710,5.3,0.66,92080,2.2,61090,85660,120450,303.365,139.7,3.7,4146.17,2023
29,11-9013,2710,5.3,0.66,92080,2.2,61090,85660,120450,303.365,139.7,3.7,4146.17,2023
30,11-9190,510,8.7,0.12,112830,2.1,78870,102920,126260,303.365,139.7,3.7,4146.17,2023
31,11-9199,510,8.7,0.12,112830,2.1,78870,102920,126260,303.365,139.7,3.7,4146.17,2023
32,13-0000,4650,5.3,1.12,71790,1.4,50380,67470,85200,303.365,139.7,3.7,4146.17,2023
33,13-1000,3430,6.1,0.83,66480,1.6,47230,62700,80820,303.365,139.7,3.7,4146.17,2023
34,13-1020,690,10.5,0.17,68370,2.5,50210,64110,79520,303.365,139.7,3.7,4146.17,2023
35,13-1020,690,10.5,0.17,68370,2.5,50210,64110,79520,303.365,139.7,3.7,4146.17,2023
36,13-1040,100,25.7,0.02,61350,6.9,50070,54390,71480,303.365,139.7,3.7,4146.17,2023
37,13-1041,100,25.7,0.02,61350,6.9,50070,54390,71480,303.365,139.7,3.7,4146.17,2023
38,13-1050,40,28.9,0.01,86250,5.9,84120,86110,96930,303.365,139.7,3.7,4146.17,2023
39,13-1051,40,28.9,0.01,86250,5.9,84120,86110,96930,303.365,139.7,3.7,4146.17,2023
40,13-1070,950,10.4,0.23,60880,4.1,45560,54820,75770,303.365,139.7,3.7,4146.17,2023
41,13-1071,550,9.1,0.13,64790,2.5,47800,60020,76450,303.365,139.7,3.7,4146.17,2023
42,13-1074,400,20.6,0.1,55600,9.8,38910,48040,72960,303.365,139.7,3.7,4146.17,2023
43,13-1080,360,9.8,0.09,75290,2.8,60090,73980,86280,303.365,139.7,3.7,4146.17,2023
44,13-1081,230,12.5,0.06,75440,2.8,61470,73560,84610,303.365,139.7,3.7,4146.17,2023
45,13-1082,130,16.8,0.03,75000,5.6,45670,77960,95530,303.365,139.7,3.7,4146.17,2023
48,13-1120,80,37.8,0.02,52140,9.2,41780,45290,55370,303.365,139.7,3.7,4146.17,2023
49,13-1121,80,37.8,0.02,52140,9.2,41780,45290,55370,303.365,139.7,3.7,4146.17,2023
50,13-1140,40,31.4,0.01,70910,2.4,58890,63370,82960,303.365,139.7,3.7,4146.17,2023
