,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
1469,13-1151,1810,7.7,0.03,68810,1.7,49020,66040,85260,250.792,128.2,3.8,2701.49,2018
1470,13-1160,9140,3.7,0.13,61680,1.7,40490,56090,75780,250.792,128.2,3.8,2701.49,2018
1471,13-1161,9140,3.7,0.13,61680,1.7,40490,56090,75780,250.792,128.2,3.8,2701.49,2018
1472,13-1190,34770,2.8,0.49,76820,1,53270,71210,95820,250.792,128.2,3.8,2701.49,2018
1473,13-1199,34770,2.8,0.49,76820,1,53270,71210,95820,250.792,128.2,3.8,2701.49,2018
1474,13-2000,39610,1.6,0.55,75720,0.7,55860,69930,88820,250.792,128.2,3.8,2701.49,2018
1475,13-2010,36820,1.6,0.51,75120,0.8,55740,69490,87820,250.792,128.2,3.8,2701.49,2018
1476,13-2011,36820,1.6,0.51,75120,0.8,55740,69490,87820,250.792,128.2,3.8,2701.49,2018
1477,13-2020,110,22.4,0.0,64640,6.2,50440,58910,78990,250.792,128.2,3.8,2701.49,2018
1478,13-2021,110,22.4,0.0,64640,6.2,50440,58910,78990,250.792,128.2,3.8,2701.49,2018
1479,13-2030,520,14.0,0.01,81620,3.5,62580,77910,97180,250.792,128.2,3.8,2701.49,2018
1480,13-2031,520,14.0,0.01,81620,3.5,62580,77910,97180,250.792,128.2,3.8,2701.49,2018
1481,13-2040,80,22.9,0.0,74700,5,54880,66410,86270,250.792,128.2,3.8,2701.49,2018
1482,13-2041,80,22.9,0.0,74700,5,54880,66410,86270,250.792,128.2,3.8,2701.49,2018
1483,13-2050,1440,8.9,0.02,88890,2.9,63950,81120,103630,250.792,128.2,3.8,2701.49,2018
1484,13-2051,1340,9.1,0.02,90430,2.7,65940,82470,104530,250.792,128.2,3.8,2701.49,2018
1485,13-2052,90,41.9,0.0,67120,7.2,45590,51470,80510,250.792,128.2,3.8,2701.49,2018
