,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,381900,0.7,100.00,24930,0.6,17700,19440,26880,213.022,116.8,9.4,902.41,2009
1,11-0000,6320,4.2,1.65,85660,2.3,50830,69860,102810,213.022,116.8,9.4,902.41,2009
2,11-1011,250,10.5,0.07,161700,5.8,108550,141040,239200,213.022,116.8,9.4,902.41,2009
3,11-1021,3080,4.3,0.81,94130,3.0,55450,74270,115180,213.022,116.8,9.4,902.41,2009
4,11-2021,30,25.1,0.01,98580,9.2,70240,84360,122770,213.022,116.8,9.4,902.41,2009
5,11-2022,110,17.7,0.03,106960,7.1,66490,87560,129040,213.022,116.8,9.4,902.41,2009
6,11-3011,40,21.1,0.01,82320,3.7,59400,76040,110150,213.022,116.8,9.4,902.41,2009
7,11-3031,230,12.5,0.06,101190,10.3,70880,86990,107040,213.022,116.8,9.4,902.41,2009
8,11-3051,230,10.2,0.06,77300,4.1,53920,68810,90610,213.022,116.8,9.4,902.41,2009
9,11-3071,220,17.5,0.06,67970,3.2,54760,62940,77230,213.022,116.8,9.4,902.41,2009
10,11-9011,1700,9.4,0.45,63140,3.4,41780,56850,76110,213.022,116.8,9.4,902.41,2009
11,11-9012,240,26.7,0.06,52050,19.4,20400,39520,86640,213.022,116.8,9.4,902.41,2009
12,11-9121,40,29.8,0.01,87770,10.4,67140,78670,93650,213.022,116.8,9.4,902.41,2009
13,11-9199,100,17.9,0.03,96860,6.8,71870,92390,122770,213.022,116.8,9.4,902.41,2009
14,13-0000,1400,8.6,0.37,56240,2.4,42660,51660,66330,213.022,116.8,9.4,902.41,2009
15,13-1021,70,23.5,0.02,51900,8.9,37470,50280,62860,213.022,116.8,9.4,902.41,2009
16,13-1023,170,33.6,0.04,48790,5.5,39490,47870,56170,213.022,116.8,9.4,902.41,2009
17,13-1079,60,24.5,0.02,59960,6.4,48220,61570,72340,213.022,116.8,9.4,902.41,2009
18,13-1199,350,19.9,0.09,53480,6.4,40360,49080,62880,213.022,116.8,9.4,902.41,2009
19,13-2011,670,10.1,0.18,59740,2.9,44450,55580,70970,213.022,116.8,9.4,902.41,2009
20,15-0000,260,10.2,0.07,60300,3.7,44300,56770,77340,213.022,116.8,9.4,902.41,2009
22,15-1061,90,12.2,0.02,56460,2.7,44800,54800,70680,213.022,116.8,9.4,902.41,2009
23,15-1071,30,30.7,0.01,78360,6.4,64640,80960,95760,213.022,116.8,9.4,902.41,2009
24,17-0000,80,31.5,0.02,60090,11.2,42570,62510,77140,213.022,116.8,9.4,902.41,2009
25,17-2021,40,42.7,0.01,70100,9.8,67430,74030,80320,213.022,116.8,9.4,902.41,2009
26,19-0000,2490,8.8,0.65,45410,3.6,27120,38220,56830,213.022,116.8,9.4,902.41,2009
27,19-1011,210,24.2,0.05,70220,12.9,31310,60050,108200,213.022,116.8,9.4,902.41,2009
28,19-1012,90,14.9,0.02,47900,6.3,28670,43390,59310,213.022,116.8,9.4,902.41,2009
29,19-1013,270,17.9,0.07,61910,7.4,43090,59240,79130,213.022,116.8,9.4,902.41,2009
30,19-1032,410,17.8,0.11,57050,3.3,43440,54220,69640,213.022,116.8,9.4,902.41,2009
31,19-4011,1100,14.5,0.29,32270,3.4,23530,29280,37790,213.022,116.8,9.4,902.41,2009
33,19-4093,70,28.0,0.02,41160,5.8,30190,40000,50920,213.022,116.8,9.4,902.41,2009
35,25-0000,270,27.0,0.07,46470,14.0,31140,38880,51330,213.022,116.8,9.4,902.41,2009
38,27-0000,130,28.1,0.03,34060,7.3,24800,28880,41650,213.022,116.8,9.4,902.41,2009
39,27-2022,80,39.4,0.02,25850,3.9,23430,25780,28760,213.022,116.8,9.4,902.41,2009
40,27-3031,30,39.7,0.01,48860,5.3,39660,45610,54210,213.022,116.8,9.4,902.41,2009
41,29-0000,170,17.5,0.04,69300,11.5,30750,44280,96570,213.022,116.8,9.4,902.41,2009
43,29-2056,50,34.9,0.01,33830,2.2,28670,32780,37460,213.022,116.8,9.4,902.41,2009
44,31-0000,60,22.6,0.02,28810,11.4,22460,25330,31870,213.022,116.8,9.4,902.41,2009
45,31-9096,50,25.0,0.01,25730,7.2,21850,24340,27550,213.022,116.8,9.4,902.41,2009
46,33-0000,400,15.4,0.10,23180,2.8,17720,20810,27220,213.022,116.8,9.4,902.41,2009
47,33-9032,390,15.7,0.10,23160,2.8,17660,20690,27230,213.022,116.8,9.4,902.41,2009
48,37-0000,4010,7.6,1.05,26310,1.9,19230,23610,30130,213.022,116.8,9.4,902.41,2009
49,37-1012,210,21.5,0.05,45500,3.8,32030,47930,55670,213.022,116.8,9.4,902.41,2009
50,37-2011,1140,7.6,0.30,20700,1.6,17050,19340,23030,213.022,116.8,9.4,902.41,2009
51,37-2012,70,30.1,0.02,24040,6.7,18490,23160,29280,213.022,116.8,9.4,902.41,2009
53,37-3011,920,11.8,0.24,25100,3.2,18640,22790,29030,213.022,116.8,9.4,902.41,2009
54,37-3012,1530,15.0,0.40,28910,3.1,22440,26580,33290,213.022,116.8,9.4,902.41,2009
55,37-3019,40,39.1,0.01,20670,5.7,16890,20210,23840,213.022,116.8,9.4,902.41,2009
56,39-0000,4790,5.6,1.25,28290,2.9,18710,23710,31450,213.022,116.8,9.4,902.41,2009
57,39-1021,170,16.7,0.04,40270,8.0,27630,36140,49350,213.022,116.8,9.4,902.41,2009
58,39-2011,1950,11.5,0.51,34570,4.4,21940,29590,41080,213.022,116.8,9.4,902.41,2009
59,39-2021,2670,9.7,0.70,22940,2.7,17640,20880,25150,213.022,116.8,9.4,902.41,2009
60,41-0000,2000,8.7,0.52,58440,4.0,34360,51340,74880,213.022,116.8,9.4,902.41,2009
