,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,388590,0.8,100.00,24530,0.6,16840,19230,26640,215.208,141.2,5.4,1403.22,2008
1,11-0000,6570,4.3,1.69,84200,2.3,49780,69530,103000,215.208,141.2,5.4,1403.22,2008
2,11-1011,260,9.3,0.07,160260,5.4,110890,150170,239200,215.208,141.2,5.4,1403.22,2008
3,11-1021,3150,4.5,0.81,92450,3.2,54460,75630,114190,215.208,141.2,5.4,1403.22,2008
4,11-2021,40,24.7,0.01,106430,6.6,74860,97890,135040,215.208,141.2,5.4,1403.22,2008
5,11-2022,150,30.5,0.04,122510,5.9,85430,121500,159190,215.208,141.2,5.4,1403.22,2008
6,11-3011,40,13.7,0.01,75040,4.3,56650,64610,103590,215.208,141.2,5.4,1403.22,2008
7,11-3031,240,8.8,0.06,96010,6.2,68470,87530,105700,215.208,141.2,5.4,1403.22,2008
8,11-3051,230,11.0,0.06,72680,3.9,51570,65350,84830,215.208,141.2,5.4,1403.22,2008
9,11-3071,240,18.0,0.06,67840,3.0,54820,62750,76660,215.208,141.2,5.4,1403.22,2008
10,11-9011,1880,9.7,0.48,60140,3.5,40540,52990,73900,215.208,141.2,5.4,1403.22,2008
12,11-9199,70,21.0,0.02,87260,7.7,64720,82210,109950,215.208,141.2,5.4,1403.22,2008
13,13-0000,1450,8.9,0.37,57610,2.4,42900,52020,67290,215.208,141.2,5.4,1403.22,2008
14,13-1021,110,15.9,0.03,61800,9.4,40280,56810,74090,215.208,141.2,5.4,1403.22,2008
15,13-1023,180,32.5,0.05,49710,5.8,42450,48480,54170,215.208,141.2,5.4,1403.22,2008
16,13-1079,50,21.3,0.01,60040,5.4,47340,59960,72340,215.208,141.2,5.4,1403.22,2008
18,13-1199,310,30.4,0.08,55880,6.7,41420,47840,61880,215.208,141.2,5.4,1403.22,2008
19,13-2011,700,8.2,0.18,59260,2.5,44560,56030,69720,215.208,141.2,5.4,1403.22,2008
20,15-0000,240,10.7,0.06,61010,2.9,44290,59060,78460,215.208,141.2,5.4,1403.22,2008
21,15-1021,30,26.9,0.01,75210,7.0,66760,77500,87110,215.208,141.2,5.4,1403.22,2008
