,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,409720,1.0,100.0,26920,0.8,18410,20180,29480,236.918,140.1,6.3,1889.77,2014
1,11-0000,7780,4.4,1.9,94010,2.8,55890,78090,116410,236.918,140.1,6.3,1889.77,2014
2,11-1000,3820,6.2,0.93,105440,3.9,59680,88140,132070,236.918,140.1,6.3,1889.77,2014
3,11-1010,200,14.7,0.05,163720,9.4,92630,154060,239200,236.918,140.1,6.3,1889.77,2014
4,11-1011,200,14.7,0.05,163720,9.4,92630,154060,239200,236.918,140.1,6.3,1889.77,2014
5,11-1020,3620,6.4,0.88,102240,4.1,59170,86080,127020,236.918,140.1,6.3,1889.77,2014
6,11-1021,3620,6.4,0.88,102240,4.1,59170,86080,127020,236.918,140.1,6.3,1889.77,2014
7,11-2000,300,8.3,0.07,117210,6.1,70620,100680,148710,236.918,140.1,6.3,1889.77,2014
8,11-2020,260,9.1,0.06,122900,6.4,78080,105490,154490,236.918,140.1,6.3,1889.77,2014
9,11-2022,240,9.9,0.06,124840,6.9,78550,106170,157680,236.918,140.1,6.3,1889.77,2014
10,11-3000,1060,8.3,0.26,89970,3,60930,77900,105850,236.918,140.1,6.3,1889.77,2014
11,11-3010,60,37.5,0.01,77830,6.6,48670,67220,105340,236.918,140.1,6.3,1889.77,2014
12,11-3011,60,37.5,0.01,77830,6.6,48670,67220,105340,236.918,140.1,6.3,1889.77,2014
13,11-3020,30,42.4,0.01,91000,11.3,70210,80120,109830,236.918,140.1,6.3,1889.77,2014
14,11-3021,30,42.4,0.01,91000,11.3,70210,80120,109830,236.918,140.1,6.3,1889.77,2014
15,11-3030,250,12.0,0.06,109670,6.9,66330,96420,126860,236.918,140.1,6.3,1889.77,2014
16,11-3031,250,12.0,0.06,109670,6.9,66330,96420,126860,236.918,140.1,6.3,1889.77,2014
17,11-3050,470,12.5,0.12,81650,4.5,57500,71160,92970,236.918,140.1,6.3,1889.77,2014
18,11-3051,470,12.5,0.12,81650,4.5,57500,71160,92970,236.918,140.1,6.3,1889.77,2014
19,11-3070,220,16.6,0.05,87610,4.9,65170,81280,104720,236.918,140.1,6.3,1889.77,2014
20,11-3071,220,16.6,0.05,87610,4.9,65170,81280,104720,236.918,140.1,6.3,1889.77,2014
21,11-9000,2610,6.9,0.64,76300,3.7,47340,69000,95120,236.918,140.1,6.3,1889.77,2014
22,11-9010,2400,7.2,0.58,73160,3.6,46630,68050,91190,236.918,140.1,6.3,1889.77,2014
23,11-9013,2400,7.2,0.58,73160,3.6,46630,68050,91190,236.918,140.1,6.3,1889.77,2014
24,11-9120,40,23.5,0.01,111400,8.4,89830,109780,126120,236.918,140.1,6.3,1889.77,2014
25,11-9121,40,23.5,0.01,111400,8.4,89830,109780,126120,236.918,140.1,6.3,1889.77,2014
26,11-9190,140,30.3,0.03,105660,9.2,58700,105660,157430,236.918,140.1,6.3,1889.77,2014
27,11-9199,140,30.3,0.03,105660,9.2,58700,105660,157430,236.918,140.1,6.3,1889.77,2014
28,13-0000,2510,9.0,0.61,54510,4.5,34220,52330,70110,236.918,140.1,6.3,1889.77,2014
29,13-1000,1790,11.6,0.44,49880,5.9,28320,45660,62680,236.918,140.1,6.3,1889.77,2014
32,13-1023,80,41.1,0.02,59160,8.8,41790,58460,74090,236.918,140.1,6.3,1889.77,2014
