,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,412150,1.1,100.0,28280,0.8,19370,21890,30880,237.001,126.5,5.6,2111.94,2015
1,11-0000,7740,4.9,1.88,90820,2.6,52210,75980,110710,237.001,126.5,5.6,2111.94,2015
2,11-1000,3750,7.3,0.91,100400,3.7,54240,80940,124030,237.001,126.5,5.6,2111.94,2015
5,11-1020,3530,7.6,0.86,97090,3.8,54210,79570,120600,237.001,126.5,5.6,2111.94,2015
6,11-1021,3530,7.6,0.86,97090,3.8,54210,79570,120600,237.001,126.5,5.6,2111.94,2015
7,11-2000,310,10.4,0.07,114130,5.3,78040,98490,141190,237.001,126.5,5.6,2111.94,2015
8,11-2020,280,11.1,0.07,117820,5.6,82540,100670,144060,237.001,126.5,5.6,2111.94,2015
9,11-2022,250,12.3,0.06,119090,6.2,82400,100730,145670,237.001,126.5,5.6,2111.94,2015
10,11-3000,940,8.6,0.23,92670,3.3,62980,82560,109210,237.001,126.5,5.6,2111.94,2015
11,11-3010,40,33.4,0.01,90950,10.1,57980,85950,112740,237.001,126.5,5.6,2111.94,2015
12,11-3011,40,33.4,0.01,90950,10.1,57980,85950,112740,237.001,126.5,5.6,2111.94,2015
13,11-3020,30,39.8,0.01,100810,13.0,75470,98490,122710,237.001,126.5,5.6,2111.94,2015
14,11-3021,30,39.8,0.01,100810,13.0,75470,98490,122710,237.001,126.5,5.6,2111.94,2015
15,11-3030,230,13.2,0.05,113610,6.5,76360,100590,128730,237.001,126.5,5.6,2111.94,2015
16,11-3031,230,13.2,0.05,113610,6.5,76360,100590,128730,237.001,126.5,5.6,2111.94,2015
17,11-3050,440,13.3,0.11,81730,4.4,57490,72430,95190,237.001,126.5,5.6,2111.94,2015
18,11-3051,440,13.3,0.11,81730,4.4,57490,72430,95190,237.001,126.5,5.6,2111.94,2015
19,11-3070,180,23.3,0.04,90820,6.0,67800,83710,105110,237.001,126.5,5.6,2111.94,2015
20,11-3071,180,23.3,0.04,90820,6.0,67800,83710,105110,237.001,126.5,5.6,2111.94,2015
21,11-9000,2740,8.1,0.67,74490,3.7,46180,66460,91230,237.001,126.5,5.6,2111.94,2015
22,11-9010,2500,8.7,0.61,70490,3.5,45560,64910,86670,237.001,126.5,5.6,2111.94,2015
23,11-9013,2500,8.7,0.61,70490,3.5,45560,64910,86670,237.001,126.5,5.6,2111.94,2015
24,11-9120,40,23.2,0.01,105230,9.0,85620,104080,125490,237.001,126.5,5.6,2111.94,2015
25,11-9121,40,23.2,0.01,105230,9.0,85620,104080,125490,237.001,126.5,5.6,2111.94,2015
28,11-9190,150,29.3,0.04,115980,7.1,69240,119840,164080,237.001,126.5,5.6,2111.94,2015
29,11-9199,150,29.3,0.04,115980,7.1,69240,119840,164080,237.001,126.5,5.6,2111.94,2015
30,13-0000,2570,10.4,0.62,53110,5.5,25770,49150,70170,237.001,126.5,5.6,2111.94,2015
31,13-1000,1900,13.3,0.46,47910,7.1,20000,40450,62370,237.001,126.5,5.6,2111.94,2015
33,13-1021,130,35.4,0.03,50460,7.3,29150,43240,58570,237.001,126.5,5.6,2111.94,2015
34,13-1023,80,38.9,0.02,53010,7.9,38660,47090,60880,237.001,126.5,5.6,2111.94,2015
35,13-1070,1210,19.2,0.29,45720,10.1,19950,33550,60490,237.001,126.5,5.6,2111.94,2015
36,13-1071,80,12.8,0.02,63460,4.3,44050,56660,73520,237.001,126.5,5.6,2111.94,2015
37,13-1074,1130,20.5,0.28,44450,11.1,19940,30880,58840,237.001,126.5,5.6,2111.94,2015
38,13-1160,100,29.5,0.02,58380,9.2,41940,47960,68490,237.001,126.5,5.6,2111.94,2015
39,13-1161,100,29.5,0.02,58380,9.2,41940,47960,68490,237.001,126.5,5.6,2111.94,2015
40,13-1190,250,25.2,0.06,53270,11.5,28790,53220,68980,237.001,126.5,5.6,2111.94,2015
41,13-1199,250,25.2,0.06,53270,11.5,28790,53220,68980,237.001,126.5,5.6,2111.94,2015
42,13-2000,670,10.5,0.16,67990,2.3,52910,64160,81500,237.001,126.5,5.6,2111.94,2015
43,13-2010,660,10.6,0.16,67380,2.3,52770,63720,80970,237.001,126.5,5.6,2111.94,2015
44,13-2011,660,10.6,0.16,67380,2.3,52770,63720,80970,237.001,126.5,5.6,2111.94,2015
45,15-0000,220,11.6,0.05,68720,5.0,48770,61510,79850,237.001,126.5,5.6,2111.94,2015
46,15-1100,210,12.1,0.05,68910,5.3,48010,61560,80280,237.001,126.5,5.6,2111.94,2015
47,15-1140,130,12.7,0.03,76040,7.5,54210,67690,80900,237.001,126.5,5.6,2111.94,2015
48,15-1141,90,14.1,0.02,81120,8.7,56030,69790,87950,237.001,126.5,5.6,2111.94,2015
49,15-1142,40,26.3,0.01,63370,4.2,49370,62800,74490,237.001,126.5,5.6,2111.94,2015
50,15-1150,60,32.7,0.01,53260,7.1,37210,47900,61530,237.001,126.5,5.6,2111.94,2015
51,15-1151,50,34.3,0.01,53990,7.4,37720,48730,62280,237.001,126.5,5.6,2111.94,2015
56,19-0000,2120,9.3,0.51,50920,3.5,29870,44200,64460,237.001,126.5,5.6,2111.94,2015
57,19-1000,1030,11.6,0.25,67090,2.8,48530,62540,80290,237.001,126.5,5.6,2111.94,2015
58,19-1010,610,14.5,0.15,65580,2.6,49260,62340,78470,237.001,126.5,5.6,2111.94,2015
59,19-1011,270,14.7,0.07,71420,3.8,54980,63660,81980,237.001,126.5,5.6,2111.94,2015
60,19-1012,50,15.3,0.01,65620,4.7,47780,60920,81850,237.001,126.5,5.6,2111.94,2015
61,19-1013,300,26.6,0.07,60340,4.2,41380,60020,76140,237.001,126.5,5.6,2111.94,2015
62,19-1020,60,30.2,0.02,69310,16.5,36280,55290,79770,237.001,126.5,5.6,2111.94,2015
63,19-1029,50,27.1,0.01,77040,17.5,43840,64510,87620,237.001,126.5,5.6,2111.94,2015
64,19-1030,360,21.8,0.09,69290,5.7,49690,64220,84600,237.001,126.5,5.6,2111.94,2015
65,19-1032,340,22.7,0.08,68960,5.8,50400,64490,84110,237.001,126.5,5.6,2111.94,2015
66,19-4000,1070,13.6,0.26,35300,3.0,25820,31220,41370,237.001,126.5,5.6,2111.94,2015
67,19-4010,900,15.8,0.22,34070,3.2,25320,30400,39160,237.001,126.5,5.6,2111.94,2015
68,19-4011,900,15.8,0.22,34070,3.2,25320,30400,39160,237.001,126.5,5.6,2111.94,2015
69,19-4020,60,14.5,0.02,36340,5.2,27620,33390,44630,237.001,126.5,5.6,2111.94,2015
70,19-4021,60,14.5,0.02,36340,5.2,27620,33390,44630,237.001,126.5,5.6,2111.94,2015
71,19-4090,100,34.8,0.02,43770,8.1,33540,42030,48120,237.001,126.5,5.6,2111.94,2015
72,19-4093,60,48.8,0.01,36490,5.3,29330,39540,44400,237.001,126.5,5.6,2111.94,2015
73,19-4099,40,46.2,0.01,56370,6.2,41410,51860,64580,237.001,126.5,5.6,2111.94,2015
74,25-0000,520,14.3,0.13,36650,7.7,22090,33130,42740,237.001,126.5,5.6,2111.94,2015
75,25-3000,480,15.0,0.12,33430,4.7,21460,32070,39650,237.001,126.5,5.6,2111.94,2015
76,25-3020,480,15.0,0.12,33430,4.7,21460,32070,39650,237.001,126.5,5.6,2111.94,2015
77,25-3021,480,15.0,0.12,33430,4.7,21460,32070,39650,237.001,126.5,5.6,2111.94,2015
78,27-0000,70,25.5,0.02,37800,6.8,25030,35410,45320,237.001,126.5,5.6,2111.94,2015
