,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,368400,0.8,100.0,25530,0.7,18010,19510,27820,217.29,126.7,9.6,1125.06,2010
1,11-0000,6360,3.8,1.73,87190,1.9,51970,72960,105010,217.29,126.7,9.6,1125.06,2010
2,11-1011,210,8.5,0.06,165600,4.8,111110,146120,239200,217.29,126.7,9.6,1125.06,2010
3,11-1021,3040,4.4,0.82,94890,2.8,55450,76760,114430,217.29,126.7,9.6,1125.06,2010
4,11-2022,120,15.2,0.03,124300,5.8,84920,109470,145900,217.29,126.7,9.6,1125.06,2010
6,11-3031,190,10.3,0.05,97210,3.8,75980,90320,109040,217.29,126.7,9.6,1125.06,2010
7,11-3051,250,10.2,0.07,77270,3.7,55070,70410,91610,217.29,126.7,9.6,1125.06,2010
8,11-3071,200,26.5,0.05,73070,6.3,56200,65230,85020,217.29,126.7,9.6,1125.06,2010
9,11-9013,2100,7.0,0.57,65730,3.3,38600,61040,82210,217.29,126.7,9.6,1125.06,2010
10,11-9121,40,47.0,0.01,89090,8.7,70330,80190,93250,217.29,126.7,9.6,1125.06,2010
12,13-0000,2060,6.3,0.56,48700,2.9,29450,44820,60330,217.29,126.7,9.6,1125.06,2010
13,13-1021,70,27.0,0.02,46050,12.0,25200,48340,57860,217.29,126.7,9.6,1125.06,2010
14,13-1023,160,33.6,0.04,46370,7.8,33030,45590,56970,217.29,126.7,9.6,1125.06,2010
15,13-1074,760,11.3,0.21,35540,4.6,25220,29870,42150,217.29,126.7,9.6,1125.06,2010
16,13-1078,40,18.6,0.01,57670,3.9,44210,59140,72110,217.29,126.7,9.6,1125.06,2010
17,13-1199,300,16.9,0.08,53040,9.2,29850,48420,66690,217.29,126.7,9.6,1125.06,2010
18,13-2011,580,9.0,0.16,61150,2.8,45670,56180,72540,217.29,126.7,9.6,1125.06,2010
