,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,416600,1.2,100.0,29800,0.7,20820,23630,32040,239.557,119.9,4.8,2065.55,2016
1,11-0000,7800,5.3,1.87,95250,3.3,53360,78580,116890,239.557,119.9,4.8,2065.55,2016
2,11-1000,3890,8.4,0.93,105200,4.8,55920,82930,129660,239.557,119.9,4.8,2065.55,2016
3,11-1010,210,14.1,0.05,189900,7.1,98720,165210,239200,239.557,119.9,4.8,2065.55,2016
4,11-1011,210,14.1,0.05,189900,7.1,98720,165210,239200,239.557,119.9,4.8,2065.55,2016
5,11-1020,3670,8.8,0.88,100280,5.1,54510,80480,124710,239.557,119.9,4.8,2065.55,2016
6,11-1021,3670,8.8,0.88,100280,5.1,54510,80480,124710,239.557,119.9,4.8,2065.55,2016
7,11-2000,280,10.7,0.07,115080,4.1,84790,103560,143100,239.557,119.9,4.8,2065.55,2016
8,11-2020,250,11.4,0.06,118680,4.3,87570,105640,145670,239.557,119.9,4.8,2065.55,2016
9,11-2021,40,12.4,0.01,126820,5.3,97400,117090,146990,239.557,119.9,4.8,2065.55,2016
10,11-2022,220,13.0,0.05,117380,5.0,85910,103820,145500,239.557,119.9,4.8,2065.55,2016
11,11-3000,860,9.3,0.21,96980,3.1,65980,88080,114710,239.557,119.9,4.8,2065.55,2016
12,11-3010,60,21.0,0.01,87260,4.5,66960,83830,107670,239.557,119.9,4.8,2065.55,2016
13,11-3011,60,21.0,0.01,87260,4.5,66960,83830,107670,239.557,119.9,4.8,2065.55,2016
14,11-3020,40,23.5,0.01,127400,9.3,92760,109340,152250,239.557,119.9,4.8,2065.55,2016
15,11-3021,40,23.5,0.01,127400,9.3,92760,109340,152250,239.557,119.9,4.8,2065.55,2016
16,11-3030,220,11.3,0.05,122000,6.9,84210,106850,136630,239.557,119.9,4.8,2065.55,2016
17,11-3031,220,11.3,0.05,122000,6.9,84210,106850,136630,239.557,119.9,4.8,2065.55,2016
18,11-3050,380,14.9,0.09,83840,2.7,60580,76460,99760,239.557,119.9,4.8,2065.55,2016
19,11-3051,380,14.9,0.09,83840,2.7,60580,76460,99760,239.557,119.9,4.8,2065.55,2016
20,11-3070,120,13.2,0.03,84850,3.3,65610,83550,102600,239.557,119.9,4.8,2065.55,2016
21,11-3071,120,13.2,0.03,84850,3.3,65610,83550,102600,239.557,119.9,4.8,2065.55,2016
22,11-9000,2770,7.3,0.67,78740,3.7,46470,67820,98200,239.557,119.9,4.8,2065.55,2016
23,11-9010,2510,7.7,0.6,77180,4.0,46120,66750,94660,239.557,119.9,4.8,2065.55,2016
