,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,369310,0.9,100.00,22470,0.7,15530,17570,24990,193.6,107.9,5.1,1178.28,2005
1,11-0000,6450,4.3,1.75,76140,2.0,44510,63910,94830,193.6,107.9,5.1,1178.28,2005
2,11-1011,470,12.9,0.13,114400,5.1,64270,101230,239200,193.6,107.9,5.1,1178.28,2005
3,11-1021,3340,5.6,0.90,80490,2.6,49230,68710,102690,193.6,107.9,5.1,1178.28,2005
4,11-2011,50,17.5,0.01,83920,9.8,46620,76340,111300,193.6,107.9,5.1,1178.28,2005
5,11-2022,130,8.9,0.04,90820,5.0,53790,81080,115820,193.6,107.9,5.1,1178.28,2005
7,11-3031,220,10.6,0.06,81220,3.9,52530,68840,96960,193.6,107.9,5.1,1178.28,2005
8,11-3051,180,14.5,0.05,60680,3.5,45530,58080,71130,193.6,107.9,5.1,1178.28,2005
9,11-3071,120,18.6,0.03,62060,5.7,39690,54810,72660,193.6,107.9,5.1,1178.28,2005
10,11-9011,1550,9.6,0.42,57010,2.8,39250,48810,68870,193.6,107.9,5.1,1178.28,2005
11,11-9012,160,27.1,0.04,44270,15.4,29120,34670,45140,193.6,107.9,5.1,1178.28,2005
12,11-9121,50,19.2,0.01,108460,6.0,81860,106730,130050,193.6,107.9,5.1,1178.28,2005
13,11-9199,70,16.2,0.02,92810,10.8,63960,79200,106960,193.6,107.9,5.1,1178.28,2005
14,13-0000,1570,9.3,0.43,51740,2.2,36510,48300,63500,193.6,107.9,5.1,1178.28,2005
15,13-1021,100,22.8,0.03,48040,8.2,27020,47970,61700,193.6,107.9,5.1,1178.28,2005
16,13-1023,250,39.4,0.07,35860,10.2,24780,30640,43810,193.6,107.9,5.1,1178.28,2005
17,13-1072,40,14.0,0.01,48740,4.1,36810,44960,56170,193.6,107.9,5.1,1178.28,2005
18,13-1079,30,19.5,0.01,49580,2.7,39710,44230,56370,193.6,107.9,5.1,1178.28,2005
19,13-1111,30,26.5,0.01,51360,7.6,39220,44950,64440,193.6,107.9,5.1,1178.28,2005
20,13-1199,300,19.7,0.08,62200,6.0,42050,56000,77610,193.6,107.9,5.1,1178.28,2005
21,13-2011,690,10.2,0.19,55140,1.9,41230,52510,65970,193.6,107.9,5.1,1178.28,2005
22,15-0000,340,26.7,0.09,51440,2.7,38510,49110,62200,193.6,107.9,5.1,1178.28,2005
24,15-1041,40,14.1,0.01,40180,4.4,31190,39790,49980,193.6,107.9,5.1,1178.28,2005
