,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,414190,0.0,100.0,37210,0.6,29230,30010,37620,268.452,132.8,5.8,4167.85,2021
2,11-1000,5550,4.3,1.34,99490,2.0,56510,79430,126380,268.452,132.8,5.8,4167.85,2021
3,11-1010,150,17.6,0.04,162790,13.4,60350,128460,239200,268.452,132.8,5.8,4167.85,2021
4,11-1011,150,17.6,0.04,162790,13.4,60350,128460,239200,268.452,132.8,5.8,4167.85,2021
5,11-1020,5400,4.3,1.3,97740,2.0,56290,79430,125480,268.452,132.8,5.8,4167.85,2021
6,11-1021,5400,4.3,1.3,97740,2.0,56290,79430,125480,268.452,132.8,5.8,4167.85,2021
8,11-2020,330,14.2,0.08,131130,8.7,81750,103030,158040,268.452,132.8,5.8,4167.85,2021
9,11-2021,70,27.8,0.02,130950,4.3,99070,138830,142300,268.452,132.8,5.8,4167.85,2021
10,11-2022,270,17.1,0.06,131170,10.9,80830,97140,160920,268.452,132.8,5.8,4167.85,2021
11,11-3000,1230,8.3,0.3,108040,3.0,77370,98240,126830,268.452,132.8,5.8,4167.85,2021
12,11-3010,310,19.3,0.07,97360,5.5,77510,84500,107620,268.452,132.8,5.8,4167.85,2021
13,11-3012,190,22.8,0.05,98740,8.9,79870,84100,107690,268.452,132.8,5.8,4167.85,2021
14,11-3013,110,32.8,0.03,95000,4.8,76880,94840,101920,268.452,132.8,5.8,4167.85,2021
19,11-3050,280,14.0,0.07,105040,6.2,76610,97540,125160,268.452,132.8,5.8,4167.85,2021
20,11-3051,280,14.0,0.07,105040,6.2,76610,97540,125160,268.452,132.8,5.8,4167.85,2021
21,11-3070,240,11.4,0.06,88160,6.0,61480,77490,102110,268.452,132.8,5.8,4167.85,2021
22,11-3071,240,11.4,0.06,88160,6.0,61480,77490,102110,268.452,132.8,5.8,4167.85,2021
23,11-3120,90,17.4,0.02,111310,7.1,79780,101640,130540,268.452,132.8,5.8,4167.85,2021
24,11-3121,90,17.4,0.02,111310,7.1,79780,101640,130540,268.452,132.8,5.8,4167.85,2021
26,11-9010,2320,9.6,0.56,78100,3.5,47820,66150,98030,268.452,132.8,5.8,4167.85,2021
27,11-9013,2320,9.6,0.56,78100,3.5,47820,66150,98030,268.452,132.8,5.8,4167.85,2021
28,11-9120,30,34.6,0.01,112800,13.3,77700,105450,130820,268.452,132.8,5.8,4167.85,2021
29,11-9121,30,34.6,0.01,112800,13.3,77700,105450,130820,268.452,132.8,5.8,4167.85,2021
38,13-1074,420,26.6,0.1,55080,7.5,38240,48390,62320,268.452,132.8,5.8,4167.85,2021
40,13-1081,80,19.2,0.02,73710,8.8,53200,63410,93210,268.452,132.8,5.8,4167.85,2021
42,13-1150,40,31.7,0.01,54000,18.4,37570,48170,66020,268.452,132.8,5.8,4167.85,2021
43,13-1151,40,31.7,0.01,54000,18.4,37570,48170,66020,268.452,132.8,5.8,4167.85,2021
44,13-1160,140,12.7,0.03,68870,4.8,53250,60420,78470,268.452,132.8,5.8,4167.85,2021
45,13-1161,140,12.7,0.03,68870,4.8,53250,60420,78470,268.452,132.8,5.8,4167.85,2021
51,13-2020,40,21.7,0.01,65130,14.9,44560,45140,47730,268.452,132.8,5.8,4167.85,2021
52,13-2020,40,21.7,0.01,65130,14.9,44560,45140,47730,268.452,132.8,5.8,4167.85,2021
57,15-1210,80,36.2,0.02,112970,12.1,75820,101000,130050,268.452,132.8,5.8,4167.85,2021
58,15-1211,80,36.9,0.02,113200,12.4,74300,101000,130730,268.452,132.8,5.8,4167.85,2021
59,15-1230,180,20.7,0.04,56930,3.9,40460,57400,62070,268.452,132.8,5.8,4167.85,2021
60,15-1232,150,24.2,0.04,54910,4.0,38030,58470,61640,268.452,132.8,5.8,4167.85,2021
62,15-1244,40,19.6,0.01,84710,5.3,62660,80040,100290,268.452,132.8,5.8,4167.85,2021
63,15-1250,80,15.3,0.02,90810,9.2,62640,101000,103010,268.452,132.8,5.8,4167.85,2021
64,15-1252,40,10.2,0.01,106700,1.4,101480,101510,127690,268.452,132.8,5.8,4167.85,2021
65,15-1254,30,33.1,0.01,71480,24.8,24450,59290,100290,268.452,132.8,5.8,4167.85,2021
66,15-1290,60,11.6,0.01,95710,4.6,60700,79860,151440,268.452,132.8,5.8,4167.85,2021
67,15-1299,60,11.6,0.01,95710,4.6,60700,79860,151440,268.452,132.8,5.8,4167.85,2021
69,17-1000,40,25.7,0.01,54920,14.5,36190,48460,61960,268.452,132.8,5.8,4167.85,2021
70,17-1020,30,24.0,0.01,46540,11.2,31260,39910,57300,268.452,132.8,5.8,4167.85,2021
72,17-2110,50,33.2,0.01,66590,6.1,58300,62710,78210,268.452,132.8,5.8,4167.85,2021
73,17-2112,50,33.2,0.01,66590,6.0,58300,62710,78210,268.452,132.8,5.8,4167.85,2021
74,17-3000,30,46.2,0.01,73450,11.2,59990,76190,76930,268.452,132.8,5.8,4167.85,2021
75,19-0000,3690,6.4,0.89,58930,2.3,37340,49680,76440,268.452,132.8,5.8,4167.85,2021
76,19-1000,1610,11.4,0.39,76660,3.0,52720,76390,97630,268.452,132.8,5.8,4167.85,2021
77,19-1010,600,12.5,0.14,72620,4.2,49460,69720,93770,268.452,132.8,5.8,4167.85,2021
78,19-1011,150,9.1,0.04,67910,2.8,48050,61620,82620,268.452,132.8,5.8,4167.85,2021
79,19-1012,110,18.7,0.03,59250,7.7,35200,63650,70170,268.452,132.8,5.8,4167.85,2021
80,19-1013,340,20.8,0.08,79130,6.1,51430,79000,97630,268.452,132.8,5.8,4167.85,2021
81,19-1020,130,31.0,0.03,91600,8.2,83220,99340,99360,268.452,132.8,5.8,4167.85,2021
82,19-1029,120,33.5,0.03,93870,9.1,89300,99360,99360,268.452,132.8,5.8,4167.85,2021
83,19-1030,880,16.1,0.21,77100,4.3,59240,74700,97390,268.452,132.8,5.8,4167.85,2021
84,19-1032,880,16.1,0.21,77100,4.3,59240,74700,97390,268.452,132.8,5.8,4167.85,2021
85,19-4000,1760,9.4,0.43,42760,2.3,30060,38560,49610,268.452,132.8,5.8,4167.85,2021
86,19-4010,1610,10.0,0.39,42060,2.2,29620,37680,49580,268.452,132.8,5.8,4167.85,2021
87,19-4012,1360,10.5,0.33,41920,2.2,29520,37670,49580,268.452,132.8,5.8,4167.85,2021
88,19-4013,250,31.3,0.06,42820,8.3,30730,41840,50140,268.452,132.8,5.8,4167.85,2021
89,19-4090,140,34.6,0.03,51320,10.5,37670,49760,59380,268.452,132.8,5.8,4167.85,2021
90,19-4099,140,34.6,0.03,51320,10.5,37670,49760,59380,268.452,132.8,5.8,4167.85,2021
91,19-5000,300,10.5,0.07,59430,7.3,34520,48690,76900,268.452,132.8,5.8,4167.85,2021
92,19-5010,300,10.5,0.07,59430,7.3,34520,48690,76900,268.452,132.8,5.8,4167.85,2021
93,19-5011,250,12.5,0.06,64150,7.9,37250,52870,81950,268.452,132.8,5.8,4167.85,2021
94,19-5012,50,10.4,0.01,36840,2.8,29690,30430,41730,268.452,132.8,5.8,4167.85,2021
95,25-0000,400,14.0,0.1,38140,3.1,26000,37410,46640,268.452,132.8,5.8,4167.85,2021
96,25-3000,370,15.1,0.09,37980,3.6,24440,37410,46060,268.452,132.8,5.8,4167.85,2021
97,25-3020,370,15.1,0.09,37980,3.6,24440,37410,46060,268.452,132.8,5.8,4167.85,2021
98,25-3021,370,15.1,0.09,37980,3.6,24440,37410,46060,268.452,132.8,5.8,4167.85,2021
103,29-0000,130,20.3,0.03,95290,15.7,48400,79170,163980,268.452,132.8,5.8,4167.85,2021
104,29-1000,90,23.4,0.02,114720,13.4,79170,99040,166350,268.452,132.8,5.8,4167.85,2021
105,29-1130,80,24.2,0.02,116100,13.7,79170,101040,166510,268.452,132.8,5.8,4167.85,2021
106,29-1131,80,24.2,0.02,116100,13.7,79170,101040,166510,268.452,132.8,5.8,4167.85,2021
107,29-2000,40,42.2,0.01,51290,13.4,37150,47380,60570,268.452,132.8,5.8,4167.85,2021
110,33-9030,440,9.6,0.11,31250,1.9,28820,29500,31470,268.452,132.8,5.8,4167.85,2021
111,33-9032,440,9.6,0.11,31250,1.9,28820,29500,31470,268.452,132.8,5.8,4167.85,2021
114,35-0000,80,42.9,0.02,40030,7.9,29910,37300,43720,268.452,132.8,5.8,4167.85,2021
115,35-2000,50,46.7,0.01,34550,8.2,28780,36280,38110,268.452,132.8,5.8,4167.85,2021
118,37-0000,5410,5.5,1.31,33630,1.2,28820,30420,37900,268.452,132.8,5.8,4167.85,2021
119,37-1000,150,10.9,0.04,49490,3.2,37870,46030,61790,268.452,132.8,5.8,4167.85,2021
120,37-1010,150,10.9,0.04,49490,3.2,37870,46030,61790,268.452,132.8,5.8,4167.85,2021
121,37-1011,50,18.1,0.01,42900,4.1,37870,37930,39510,268.452,132.8,5.8,4167.85,2021
122,37-1012,100,16.0,0.03,52540,4.1,37240,50310,62780,268.452,132.8,5.8,4167.85,2021
123,37-2000,2460,7.4,0.59,29650,1.4,28090,30070,30710,268.452,132.8,5.8,4167.85,2021
124,37-2010,2450,7.4,0.59,29640,1.4,28090,30070,30710,268.452,132.8,5.8,4167.85,2021
125,37-2011,2350,7.7,0.57,29260,1.4,28090,30070,30690,268.452,132.8,5.8,4167.85,2021
126,37-2012,110,16.1,0.03,37800,10.9,27660,30470,39550,268.452,132.8,5.8,4167.85,2021
127,37-3000,2800,8.8,0.68,36260,1.7,29500,36360,40540,268.452,132.8,5.8,4167.85,2021
128,37-3010,2800,8.8,0.68,36260,1.7,29500,36360,40540,268.452,132.8,5.8,4167.85,2021
129,37-3011,1000,10.0,0.24,34590,2.8,29270,32070,38100,268.452,132.8,5.8,4167.85,2021
130,37-3012,1600,13.4,0.39,36870,2.4,29860,37590,42230,268.452,132.8,5.8,4167.85,2021
131,37-3013,140,29.2,0.03,41500,9.3,30590,39590,50040,268.452,132.8,5.8,4167.85,2021
132,37-3019,50,43.4,0.01,35030,12.6,28090,28820,45850,268.452,132.8,5.8,4167.85,2021
133,39-0000,6700,4.3,1.62,35550,1.8,28200,29760,38730,268.452,132.8,5.8,4167.85,2021
134,39-1000,220,14.8,0.05,47270,8.9,32300,44150,55670,268.452,132.8,5.8,4167.85,2021
135,39-1010,40,44.9,0.01,50550,4.2,44150,55670,59110,268.452,132.8,5.8,4167.85,2021
136,39-1014,40,44.9,0.01,50550,4.2,44150,55670,59110,268.452,132.8,5.8,4167.85,2021
137,39-1020,170,18.5,0.04,46410,10.9,30030,38410,55540,268.452,132.8,5.8,4167.85,2021
138,39-1022,170,18.5,0.04,46410,10.9,30030,38410,55540,268.452,132.8,5.8,4167.85,2021
139,39-2000,6440,4.4,1.55,35130,1.8,28200,29720,37990,268.452,132.8,5.8,4167.85,2021
140,39-2010,1930,7.5,0.47,40830,3.4,28350,35800,47480,268.452,132.8,5.8,4167.85,2021
141,39-2011,1930,7.5,0.47,40830,3.4,28350,35800,47480,268.452,132.8,5.8,4167.85,2021
142,39-2020,4500,5.7,1.09,32680,1.5,28140,29460,35840,268.452,132.8,5.8,4167.85,2021
143,39-2021,4500,5.7,1.09,32680,1.5,28140,29460,35840,268.452,132.8,5.8,4167.85,2021
144,41-0000,3400,7.6,0.82,68560,3.6,36560,60170,78800,268.452,132.8,5.8,4167.85,2021
148,41-1012,110,12.8,0.03,76650,7.1,58490,62290,77530,268.452,132.8,5.8,4167.85,2021
149,41-2000,520,27.6,0.13,31670,3.4,26680,29260,34710,268.452,132.8,5.8,4167.85,2021
152,41-2030,420,31.1,0.1,32560,4.4,27490,29400,35290,268.452,132.8,5.8,4167.85,2021
153,41-2031,420,31.1,0.1,32560,4.4,27490,29400,35290,268.452,132.8,5.8,4167.85,2021
154,41-3000,860,16.2,0.21,77520,6.8,50420,63950,80680,268.452,132.8,5.8,4167.85,2021
155,41-3090,850,16.5,0.2,77890,7.0,50590,64350,80850,268.452,132.8,5.8,4167.85,2021
156,41-3091,850,16.5,0.2,77890,7.0,50590,64350,80850,268.452,132.8,5.8,4167.85,2021
