,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,371180,0.7,100.0,25680,0.7,18090,19460,27870,224.806,143.1,9.0,1338.31,2011
1,11-0000,6470,3.5,1.74,88960,1.8,54060,75470,107360,224.806,143.1,9.0,1338.31,2011
2,11-1011,170,17.6,0.05,170710,6.7,108720,153630,239200,224.806,143.1,9.0,1338.31,2011
3,11-1021,3220,4.5,0.87,93370,2.3,57980,77870,112890,224.806,143.1,9.0,1338.31,2011
4,11-2022,220,10.2,0.06,114460,7.2,71010,103630,135310,224.806,143.1,9.0,1338.31,2011
5,11-3011,70,19.5,0.02,95010,7.1,69420,88500,111530,224.806,143.1,9.0,1338.31,2011
6,11-3031,210,9.3,0.06,97110,4.6,75160,88250,107130,224.806,143.1,9.0,1338.31,2011
7,11-3051,270,11.5,0.07,76170,3.2,54790,70150,92530,224.806,143.1,9.0,1338.31,2011
8,11-3071,180,17.7,0.05,73370,4.5,51150,68630,89480,224.806,143.1,9.0,1338.31,2011
9,11-9013,1900,7.1,0.51,70490,2.9,42310,65710,87580,224.806,143.1,9.0,1338.31,2011
10,11-9121,30,30.6,0.01,107430,15.8,67540,85960,136370,224.806,143.1,9.0,1338.31,2011
11,11-9199,110,22.7,0.03,130270,13.9,79100,107190,153740,224.806,143.1,9.0,1338.31,2011
12,13-0000,2250,6.9,0.61,49830,3.7,28990,45130,65680,224.806,143.1,9.0,1338.31,2011
14,13-1023,190,33.2,0.05,53380,7.2,40760,49640,66690,224.806,143.1,9.0,1338.31,2011
15,13-1074,920,10.5,0.25,35790,4.9,22690,29200,43310,224.806,143.1,9.0,1338.31,2011
16,13-1078,60,31.6,0.02,54770,3.0,41120,62230,71250,224.806,143.1,9.0,1338.31,2011
17,13-1111,70,34.7,0.02,97400,23.8,64930,88450,152530,224.806,143.1,9.0,1338.31,2011
18,13-1161,50,17.7,0.01,55300,5.7,40250,50870,65680,224.806,143.1,9.0,1338.31,2011
19,13-1199,270,17.9,0.07,55290,7.3,33910,52630,72290,224.806,143.1,9.0,1338.31,2011
20,13-2011,490,11.1,0.13,61540,2.3,45860,59510,74490,224.806,143.1,9.0,1338.31,2011
21,15-0000,230,17.6,0.06,61060,2.2,42990,54460,79430,224.806,143.1,9.0,1338.31,2011
22,15-1141,120,21.0,0.03,68120,2.8,50930,63560,85630,224.806,143.1,9.0,1338.31,2011
23,15-1150,30,21.0,0.01,39900,2.9,30410,39060,46470,224.806,143.1,9.0,1338.31,2011
25,19-0000,1960,8.6,0.53,49280,3.5,28140,40320,64080,224.806,143.1,9.0,1338.31,2011
26,19-1011,150,26.5,0.04,108080,9.4,59010,94550,138930,224.806,143.1,9.0,1338.31,2011
27,19-1012,110,23.9,0.03,46420,7.5,29040,42200,55790,224.806,143.1,9.0,1338.31,2011
28,19-1013,230,21.2,0.06,68830,3.4,54620,70160,86160,224.806,143.1,9.0,1338.31,2011
29,19-1029,30,36.0,0.01,55850,15.9,28190,46910,74610,224.806,143.1,9.0,1338.31,2011
30,19-1032,410,19.8,0.11,58640,3.3,46950,62220,70830,224.806,143.1,9.0,1338.31,2011
31,19-4011,860,10.5,0.23,31250,2.6,22840,28360,36690,224.806,143.1,9.0,1338.31,2011
33,19-4099,30,32.6,0.01,36830,3.6,29710,35920,43120,224.806,143.1,9.0,1338.31,2011
34,25-0000,300,17.0,0.08,38810,8.9,21470,35540,48570,224.806,143.1,9.0,1338.31,2011
35,25-3021,290,17.8,0.08,37600,9.6,20980,34700,47030,224.806,143.1,9.0,1338.31,2011
36,27-0000,150,22.0,0.04,36720,7.1,25520,32020,45380,224.806,143.1,9.0,1338.31,2011
37,27-2022,60,45.5,0.02,28380,12.2,19510,27100,29690,224.806,143.1,9.0,1338.31,2011
38,27-3031,50,32.2,0.01,48210,5.1,39620,45960,54910,224.806,143.1,9.0,1338.31,2011
40,29-1131,50,21.5,0.01,102940,10.1,71340,89080,117790,224.806,143.1,9.0,1338.31,2011
41,29-2056,40,35.0,0.01,35890,3.7,30410,35670,42070,224.806,143.1,9.0,1338.31,2011
43,29-9012,40,27.8,0.01,41510,4.5,36650,41880,46060,224.806,143.1,9.0,1338.31,2011
44,33-0000,390,15.1,0.11,29780,20.3,18190,19590,27110,224.806,143.1,9.0,1338.31,2011
45,33-9032,370,15.0,0.1,22740,3.1,18120,19400,24960,224.806,143.1,9.0,1338.31,2011
46,35-0000,40,8.2,0.01,23870,4.2,19550,22180,26220,224.806,143.1,9.0,1338.31,2011
47,37-0000,4220,8.0,1.14,28000,1.9,19550,25060,32860,224.806,143.1,9.0,1338.31,2011
48,37-1012,140,38.0,0.04,48890,3.7,39180,51650,58650,224.806,143.1,9.0,1338.31,2011
