,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,430720,1.0,100.0,33510,0.7,24360,27410,36080,255.296,127.0,3.6,2854.71,2019
1,11-0000,8030,5.0,1.86,100580,1.9,59340,85150,126260,255.296,127.0,3.6,2854.71,2019
2,11-1000,4020,6.0,0.93,104430,3.0,55780,84330,131070,255.296,127.0,3.6,2854.71,2019
3,11-1010,100,15.6,0.02,201080,5.2,130950,184810,239200,255.296,127.0,3.6,2854.71,2019
4,11-1011,100,15.6,0.02,201080,5.2,130950,184810,239200,255.296,127.0,3.6,2854.71,2019
5,11-1020,3920,6.1,0.91,101950,3.1,55190,82830,127860,255.296,127.0,3.6,2854.71,2019
6,11-1021,3920,6.1,0.91,101950,3.1,55190,82830,127860,255.296,127.0,3.6,2854.71,2019
7,11-2000,370,24.9,0.09,126970,5.3,82740,122900,158390,255.296,127.0,3.6,2854.71,2019
8,11-2020,350,25.9,0.08,128420,5.6,84370,125290,159500,255.296,127.0,3.6,2854.71,2019
10,11-2022,270,27.2,0.06,124420,4.6,80520,116010,155560,255.296,127.0,3.6,2854.71,2019
11,11-3000,1000,9.4,0.23,105370,3.4,70740,93120,125610,255.296,127.0,3.6,2854.71,2019
12,11-3010,150,20.5,0.03,91530,4.3,65180,86090,114180,255.296,127.0,3.6,2854.71,2019
13,11-3010,150,20.5,0.03,91530,4.3,65180,86090,114180,255.296,127.0,3.6,2854.71,2019
14,11-3020,40,18.3,0.01,141360,6.0,113720,131350,179330,255.296,127.0,3.6,2854.71,2019
15,11-3021,40,18.3,0.01,141360,6.0,113720,131350,179330,255.296,127.0,3.6,2854.71,2019
16,11-3030,230,13.1,0.05,142800,6.2,92590,124720,174490,255.296,127.0,3.6,2854.71,2019
17,11-3031,230,13.1,0.05,142800,6.2,92590,124720,174490,255.296,127.0,3.6,2854.71,2019
